Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
4;2016;1301;Ryan, Matt;QB;atl;h;car;36.52;7900
4;2016;1232;Roethlisberger, Ben;QB;pit;h;kan;33.9;8400
4;2016;1442;Bortles, Blake;QB;jac;h;ind;25.88;7700
4;2016;1412;Wilson, Russell;QB;sea;a;nyj;23.86;8400
4;2016;1441;Carr, Derek;QB;oak;a;bal;23.76;8000
4;2016;1302;Flacco, Joe;QB;bal;h;oak;22.02;7700
4;2016;1231;Rivers, Philip;QB;sdg;h;nor;19.84;8500
4;2016;1336;Hoyer, Brian;QB;chi;h;det;19.78;6000
4;2016;1254;Smith, Alex;QB;kan;a;pit;18.68;6900
4;2016;1409;Luck, Andrew;QB;ind;a;jac;18.66;8900
4;2016;1415;Cousins, Kirk;QB;was;h;cle;18.32;7600
4;2016;1501;Prescott, Dak;QB;dal;a;sfo;18.1;7200
4;2016;1435;Keenum, Case;QB;lar;a;ari;18.04;6500
4;2016;1414;Osweiler, Brock;QB;hou;h;ten;17.56;7300
4;2016;1400;Taylor, Tyrod;QB;buf;a;nwe;16.64;7600
4;2016;1378;Newton, Cam;QB;car;a;atl;15.6;9300
4;2016;1239;Anderson, Derek;QB;car;a;atl;14.88;5000
4;2016;1403;Dalton, Andy;QB;cin;h;mia;14.64;7600
4;2016;1151;Brees, Drew;QB;nor;a;sdg;13.88;8600
4;2016;1381;Gabbert, Blaine;QB;sfo;h;dal;13.54;6400
4;2016;1465;Winston, Jameis;QB;tam;h;den;13.06;7100
4;2016;1207;Palmer, Carson;QB;ari;h;lar;12.52;8000
4;2016;1492;Kessler, Cody;QB;cle;a;was;12.12;6300
4;2016;1242;Fitzpatrick, Ryan;QB;nyj;h;sea;11.94;6900
4;2016;5505;McEvoy, Tanner;QB;sea;a;nyj;10.7;
4;2016;1516;Lynch, Paxton;QB;den;a;tam;10.4;5500
4;2016;1340;Stafford, Matthew;QB;det;a;chi;10.22;8300
4;2016;1466;Mariota, Marcus;QB;ten;a;hou;9.08;7400
4;2016;1410;Tannehill, Ryan;QB;mia;a;cin;8.56;7200
4;2016;1496;Brissett, Jacoby;QB;nwe;h;buf;8.5;6700
4;2016;1488;Siemian, Trevor;QB;den;a;tam;6.72;7400
4;2016;5071;Webb, Joe;QB;car;a;atl;0.8;5000
4;2016;1430;Jones, Landry;QB;pit;h;kan;0;5500
4;2016;1290;Stanton, Drew;QB;ari;h;lar;-0.52;5000
4;2016;2831;Murray, DeMarco;RB;ten;a;hou;24.9;7300
4;2016;5444;Elliott, Ezekiel;RB;dal;a;sfo;22.2;8100
4;2016;2969;Crowell, Isaiah;RB;cle;a;was;20.9;6600
4;2016;2991;Gordon, Melvin;RB;sdg;h;nor;20.9;7600
4;2016;3552;Jones, Matt;RB;was;h;cle;20.8;6600
4;2016;2888;Bell, Le'Veon;RB;pit;h;kan;20.3;8300
4;2016;2549;Kuhn, John;RB;nor;a;sdg;20.2;4500
4;2016;2707;McCoy, LeSean;RB;buf;a;nwe;19.8;7600
4;2016;2793;Ingram, Mark;RB;nor;a;sdg;19.5;6800
4;2016;2467;Gore, Frank;RB;ind;a;jac;18;6100
4;2016;2898;Michael, Christine;RB;sea;a;nyj;17.5;7500
4;2016;2929;West, Terrance;RB;bal;h;oak;17.3;4900
4;2016;5447;Howard, Jordan;RB;chi;h;det;14.7;5600
4;2016;2933;Hyde, Carlos;RB;sfo;h;dal;14.4;6800
4;2016;2916;Whittaker, Fozzy;RB;car;a;atl;13.7;5800
4;2016;2993;Yeldon, T.J.;RB;jac;h;ind;13.7;6700
4;2016;2930;Freeman, Devonta;RB;atl;h;car;13.4;7200
4;2016;5395;Johnson, David;RB;ari;h;lar;12.4;8700
4;2016;2859;Miller, Lamar;RB;hou;h;ten;12.3;8200
4;2016;2924;Anderson, C.J.;RB;den;a;tam;11.7;7900
4;2016;2915;Thompson, Chris;RB;was;h;cle;11;5200
4;2016;2819;Powell, Bilal;RB;nyj;h;sea;11;5000
4;2016;2992;Gurley, Todd;RB;lar;a;ari;10.7;7700
4;2016;5485;Hill, Tyreek;RB;kan;a;pit;10.7;4500
4;2016;2997;Johnson, Duke;RB;cle;a;was;9.4;5400
