"","TeamID","Name","Week","Team.x","Opp","Score","PlayerCompletions","PlayerPassingAttempts","PlayerPassingYds","PlayerPassingTDs","PlayerInterceptions","PlayerSacked","FUM.x","PlayerPassRating","Oppt.x","PlayerRushingAttempts","PlayerRushingYds","Avg","PlayerRushingTDs","PlayerReceptions","PlayerReceivingYds","PlayerReceivingTDs","FG.Made","FG.Att","XP.Made","XP.Att","Pts","Year","GID","Pos","Team.y","h.a","Oppt.y","FD.points","FD.salary","TeamID.y","Team","RunDRk","RushingGamesPlayed","RusingPointsperGameGAllowed","TotalRushingPointsAllowed","TotalRushAttemptsAgainst","RushAttemptsAgainstPerGame","RushYdsAllowed","AverageYardsPerCarryAllowed","RushingYardsPerGameAllowed","RushingTDAllowed","LongestRunAllowed","FirstDownsAllowed","FirstDownPercentageAllowed","20yardsRunOrLongerAllowed","40yardsRunOrLongerAllowed","FumblesCaused","PassDRk","PassingGamesPlayed","PassingPointsperGameGAllowed","TotalPassingPointsAllowed","CompletionsAllowed","TotalPassAttemptsAgainst","CompletionPercentageAllowed","PassAttemptsAgainstPerGame","PassingYdsAllowed","AverageYardsPerPassAllowed","PassingYardsPerGameAllowed","PassingTDAllowed","Interceptions","PassingFirstDownsAllowed","PassingFirstDownPercentageAllowed","LongestPassAllowed","20yardsPassOrLongerAllowed","40yardsPassOrLongerAllowed","Sacs","PassDefenseRating","Rk","G","Pts.G","TotPts","Scrm.Plys","Yds.G","Yds.P","X1st.G","X3rd.Md","X3rd.Att","X3rd.Pct","X4th.Md","X4th.Att","X4th.Pct","Pen","Pen.Yds","ToP.G","FUM.y","Lost"
"53",14,"Rivers, Philip",3,"sd","@ IND","L  22-26",26,39,330,0,0,2,1,92.9,"ind",0,0,0,0,0,0,0,0,0,0,0,0,2016,1231,"QB","SD","t","oak","17.375","8300",24,14,18,4,31.2,125,101,25.2,423,4.2,105.8,5,5,22,21.8,1,0,1,24,4,31.2,125,98,144,68.1,36,10,7.9,277,5,1,60,41.7,4,11,3,7,100.4,24,4,31.2,125,252,382.8,6.1,23,17,42,40,1,1,100,37,349,7,5,3
"54",14,"Rivers, Philip",3,"sd","@ IND","L  22-26",0,0,0,0,0,0,1,0,"ind",1,2,2,0,0,0,0,0,0,0,0,0,2016,1231,"QB","SD","t","oak","17.375","8300",24,14,18,4,31.2,125,101,25.2,423,4.2,105.8,5,5,22,21.8,1,0,1,24,4,31.2,125,98,144,68.1,36,10,7.9,277,5,1,60,41.7,4,11,3,7,100.4,24,4,31.2,125,252,382.8,6.1,23,17,42,40,1,1,100,37,349,7,5,3
"55",14,"Williams, Tyrell",3,"sd","@ IND","L  22-26",0,0,0,0,0,0,0,0,"ind",0,0,11.5,0,6,69,0,0,0,0,0,0,2016,5432,"WR","SD","t","oak","9.52499961853027","6500",24,14,18,4,31.2,125,101,25.2,423,4.2,105.8,5,5,22,21.8,1,0,1,24,4,31.2,125,98,144,68.1,36,10,7.9,277,5,1,60,41.7,4,11,3,7,100.4,24,4,31.2,125,252,382.8,6.1,23,17,42,40,1,1,100,37,349,7,5,3
"56",30,"Austin, Tavon",3,"la","@ TB","W  37-32",0,0,0,0,0,0,0,0,"tb",2,22,11,0,0,0,0,0,0,0,0,0,2016,5199,"WR","LA","t","buf","8.07499980926514","5800",4,30,12,4,32,128,117,29.2,383,3.3,95.8,4,6,18,15.4,1,0,0,15,4,32,128,78,130,60,32.5,2,8.3,258.5,9,1,53,40.8,13,14,6,9,106.5,15,4,32,128,256,354.2,5.5,19.8,18,53,34,1,2,50,27,261,14,1,1
"57",30,"Austin, Tavon",3,"la","@ TB","W  37-32",0,0,0,0,0,0,0,0,"tb",0,0,16.4,0,5,82,1,0,0,0,0,0,2016,5199,"WR","LA","t","buf","8.07499980926514","5800",4,30,12,4,32,128,117,29.2,383,3.3,95.8,4,6,18,15.4,1,0,0,15,4,32,128,78,130,60,32.5,2,8.3,258.5,9,1,53,40.8,13,14,6,9,106.5,15,4,32,128,256,354.2,5.5,19.8,18,53,34,1,2,50,27,261,14,1,1
"58",30,"Gurley, Todd",3,"la","@ TB","W  37-32",0,0,0,0,0,0,0,0,"tb",27,85,3.1,2,0,0,0,0,0,0,0,0,2016,2992,"RB","LA","t","buf","10.8500003814697","7600",4,30,12,4,32,128,117,29.2,383,3.3,95.8,4,6,18,15.4,1,0,0,15,4,32,128,78,130,60,32.5,2,8.3,258.5,9,1,53,40.8,13,14,6,9,106.5,15,4,32,128,256,354.2,5.5,19.8,18,53,34,1,2,50,27,261,14,1,1
"59",30,"Gurley, Todd",3,"la","@ TB","W  37-32",0,0,0,0,0,0,0,0,"tb",0,0,-5,0,1,-5,0,0,0,0,0,0,2016,2992,"RB","LA","t","buf","10.8500003814697","7600",4,30,12,4,32,128,117,29.2,383,3.3,95.8,4,6,18,15.4,1,0,0,15,4,32,128,78,130,60,32.5,2,8.3,258.5,9,1,53,40.8,13,14,6,9,106.5,15,4,32,128,256,354.2,5.5,19.8,18,53,34,1,2,50,27,261,14,1,1
"60",30,"Keenum, Case",3,"la","@ TB","W  37-32",14,26,190,2,1,1,0,87,"tb",0,0,0,0,0,0,0,0,0,0,0,0,2016,1435,"QB","LA","t","buf","11.75","6600",4,30,12,4,32,128,117,29.2,383,3.3,95.8,4,6,18,15.4,1,0,0,15,4,32,128,78,130,60,32.5,2,8.3,258.5,9,1,53,40.8,13,14,6,9,106.5,15,4,32,128,256,354.2,5.5,19.8,18,53,34,1,2,50,27,261,14,1,1
"61",30,"Keenum, Case",3,"la","@ TB","W  37-32",0,0,0,0,0,0,0,0,"tb",2,1,0.5,0,0,0,0,0,0,0,0,0,2016,1435,"QB","LA","t","buf","11.75","6600",4,30,12,4,32,128,117,29.2,383,3.3,95.8,4,6,18,15.4,1,0,0,15,4,32,128,78,130,60,32.5,2,8.3,258.5,9,1,53,40.8,13,14,6,9,106.5,15,4,32,128,256,354.2,5.5,19.8,18,53,34,1,2,50,27,261,14,1,1
"62",30,"Kendricks, Lance",3,"la","@ TB","W  37-32",0,0,0,0,0,0,0,0,"tb",0,0,0,0,0,0,0,0,0,0,0,0,2016,4538,"TE","LA","t","buf","4.57499980926514","4500",4,30,12,4,32,128,117,29.2,383,3.3,95.8,4,6,18,15.4,1,0,0,15,4,32,128,78,130,60,32.5,2,8.3,258.5,9,1,53,40.8,13,14,6,9,106.5,15,4,32,128,256,354.2,5.5,19.8,18,53,34,1,2,50,27,261,14,1,1
