Name	Team	Opp	Score	Rec	Yds	Avg	TD	FUM
Stefon Diggs	MIN	vs GB	W  17-14	9	182	20.2	1	0
Jarvis Landry	MIA	@ NE	L  24-31	10	135	13.5	0	1
Eric Decker	NYJ	@ BUF	W  37-31	6	126	21.0	1	0
Greg Olsen	CAR	vs SF	W  46-27	5	122	24.4	1	0
Marvin Jones	DET	vs TEN	L  15-16	8	118	14.8	0	0
Sterling Shepard	NYG	vs NO	W  16-13	8	117	14.6	0	0
Travis Benjamin	SD	vs JAX	W  38-14	6	115	19.2	2	0
Martellus Bennett	NE	vs MIA	W  31-24	5	114	22.8	1	0
DeAndre Hopkins	HOU	vs KC	W  19-12	7	113	16.1	1	0
Marquise Goodwin	BUF	vs NYJ	L  31-37	2	112	56.0	1	0
Kelvin Benjamin	CAR	vs SF	W  46-27	7	108	15.4	2	0
Julio Jones	ATL	@ OAK	W  35-28	5	106	21.2	1	0
DeVante Parker	MIA	@ NE	L  24-31	8	106	13.2	0	0
Corey Coleman	CLE	vs BAL	L  20-25	5	104	20.8	2	0
Will Fuller	HOU	vs KC	W  19-12	4	104	26.0	0	0
Dez Bryant	DAL	@ WAS	W  27-23	7	102	14.6	0	0
Dennis Pitta	BAL	@ CLE	W  25-20	9	102	11.3	0	0
Brandon Marshall	NYJ	@ BUF	W  37-31	6	101	16.8	0	0
Giovani Bernard	CIN	@ PIT	L  16-24	9	100	11.1	1	1
Tyler Lockett	SEA	@ LA	L  3-9	4	99	24.8	0	0
David Johnson	ARI	vs TB	W  40-7	3	98	32.7	0	0
Sammie Coates	PIT	vs CIN	W  24-16	2	97	48.5	0	0
Alshon Jeffery	CHI	vs PHI	L  14-29	5	96	19.2	0	0
Kenny Britt	LA	vs SEA	W  9-3	6	94	15.7	0	0
Quincy Enunwa	NYJ	@ BUF	W  37-31	6	92	15.3	0	0
Victor Cruz	NYG	vs NO	W  16-13	4	91	22.8	0	1
Demaryius Thomas	DEN	vs IND	W  34-20	5	90	18.0	0	0
Greg Salas	BUF	vs NYJ	L  31-37	4	89	22.2	1	0
Odell Beckham	NYG	vs NO	W  16-13	8	86	10.8	0	0
Austin Hooper	ATL	@ OAK	W  35-28	3	84	28.0	0	0
Delanie Walker	TEN	@ DET	W  16-15	6	83	13.8	1	0
Tyler Boyd	CIN	@ PIT	L  16-24	6	78	13.0	0	1
Jaron Brown	ARI	vs TB	W  40-7	2	78	39.0	1	0
Larry Fitzgerald	ARI	vs TB	W  40-7	5	77	15.4	1	0
Julian Edelman	NE	vs MIA	W  31-24	7	76	10.9	0	0
Cole Beasley	DAL	@ WAS	W  27-23	5	75	15.0	0	0
Marqise Lee	JAX	@ SD	L  14-38	5	75	15.0	0	0
Vance McDonald	SF	@ CAR	L  27-46	1	75	75.0	1	0
Jacob Tamme	ATL	@ OAK	W  35-28	5	75	15.0	1	0
Jordy Nelson	GB	@ MIN	L  14-17	5	73	14.6	1	0
Amari Cooper	OAK	vs ATL	L  28-35	5	71	14.2	0	0
Jordan Matthews	PHI	@ CHI	W  29-14	6	71	11.8	0	0
Julius Thomas	JAX	@ SD	L  14-38	4	71	17.8	0	0
Mike Evans	TB	@ ARI	L  7-40	6	70	11.7	1	0
Jordan Reed	WAS	vs DAL	L  23-27	5	70	14.0	0	0
