Name	Team	Opp	Score	Rec	Yds	Avg	TD	FUM
Odell Beckham	NYG	vs BAL	W  27-23	8	222	27.8	2	1
Brandin Cooks	NO	vs CAR	W  41-38	7	173	24.7	1	0
Golden Tate	DET	vs LA	W  31-28	8	165	20.6	1	0
Rob Gronkowski	NE	vs CIN	W  35-17	7	162	23.1	1	0
Julio Jones	ATL	@ SEA	L  24-26	7	139	19.9	1	0
Kenny Britt	LA	@ DET	L  28-31	7	136	19.4	2	0
Kendall Wright	TEN	vs CLE	W  28-26	8	133	16.6	1	0
Amari Cooper	OAK	vs KC	L  10-26	10	129	12.9	0	0
Cameron Meredith	CHI	vs JAX	L  16-17	11	113	10.3	0	0
Ty Montgomery	GB	vs DAL	L  16-30	10	98	9.8	0	1
Mike Wallace	BAL	@ NYG	L  23-27	4	97	24.2	0	0
Greg Olsen	CAR	@ NO	L  38-41	6	94	15.7	0	0
Alshon Jeffery	CHI	vs JAX	L  16-17	7	93	13.3	0	0
Jarvis Landry	MIA	vs PIT	W  30-15	7	91	13.0	0	0
Jimmy Graham	SEA	vs ATL	W  26-24	6	89	14.8	0	0
A.J. Green	CIN	@ NE	L  17-35	6	88	14.7	0	0
Kelvin Benjamin	CAR	@ NO	L  38-41	8	86	10.8	0	0
C.J. Fiedorowicz	HOU	vs IND	W  26-23	6	85	14.2	1	0
Hunter Henry	SD	vs DEN	W  21-13	6	83	13.8	1	0
MarQueis Gray	MIA	vs PIT	W  30-15	3	81	27.0	0	0
Tyler Boyd	CIN	@ NE	L  17-35	4	79	19.8	0	0
Michael Thomas	NO	vs CAR	W  41-38	5	78	15.6	1	0
Pierre Garcon	WAS	vs PHI	W  27-20	6	77	12.8	0	0
Torrey Smith	SF	@ BUF	L  16-45	3	76	25.3	1	0
Jordan Matthews	PHI	@ WAS	L  20-27	3	75	25.0	0	0
Terrelle Pryor	CLE	@ TEN	L  26-28	9	75	8.3	2	0
Terrance Williams	DAL	@ GB	W  30-16	4	75	18.8	0	0
Coby Fleener	NO	vs CAR	W  41-38	6	74	12.3	1	0
Allen Hurns	JAX	@ CHI	W  17-16	5	74	14.8	0	0
DeAndre Hopkins	HOU	vs IND	W  26-23	9	71	7.9	0	0
Brandon Marshall	NYJ	@ ARI	L  3-28	3	70	23.3	0	0
Rishard Matthews	TEN	vs CLE	W  28-26	3	70	23.3	1	0
Levine Toilolo	ATL	@ SEA	L  24-26	3	69	23.0	1	0
Jordy Nelson	GB	vs DAL	L  16-30	5	68	13.6	0	1
