TeamID,Name,Week,Team.x,Opp,Score,PlayerCompletions,PlayerPassingAttempts,PlayerPassingYds,PlayerPassingTDs,PlayerInterceptions,PlayerSacked,FUM.x,PlayerPassRating,Oppt.x,PlayerRushingAttempts,PlayerRushingYds,Avg,PlayerRushingTDs,PlayerReceptions,PlayerReceivingYds,PlayerReceivingTDs,FG.Made,FG.Att,XP.Made,XP.Att,Pts,Year,GID,Pos,Team.y,h.a,Oppt.y,FD.points,FD.salary,TeamID.y,Team,RunDRk,RushingGamesPlayed,RusingPointsperGameGAllowed,TotalRushingPointsAllowed,TotalRushAttemptsAgainst,RushAttemptsAgainstPerGame,RushYdsAllowed,AverageYardsPerCarryAllowed,RushingYardsPerGameAllowed,RushingTDAllowed,LongestRunAllowed,FirstDownsAllowed,FirstDownPercentageAllowed,20yardsRunOrLongerAllowed,40yardsRunOrLongerAllowed,FumblesCaused,PassDRk,PassingGamesPlayed,PassingPointsperGameGAllowed,TotalPassingPointsAllowed,CompletionsAllowed,TotalPassAttemptsAgainst,CompletionPercentageAllowed,PassAttemptsAgainstPerGame,PassingYdsAllowed,AverageYardsPerPassAllowed,PassingYardsPerGameAllowed,PassingTDAllowed,Interceptions,PassingFirstDownsAllowed,PassingFirstDownPercentageAllowed,LongestPassAllowed,20yardsPassOrLongerAllowed,40yardsPassOrLongerAllowed,Sacs,PassDefenseRating,Rk,G,Pts.G,TotPts,Scrm.Plys,Yds.G,Yds.P,X1st.G,X3rd.Md,X3rd.Att,X3rd.Pct,X4th.Md,X4th.Att,X4th.Pct,Pen,Pen.Yds,ToP.G,FUM.y,Lost,Scored Labels
11,"Adams, Davante",0,gb,vs DET,W  34-27,0,0,0,0,0,0,0,0,det,0,0.00961538461538462,0.367647058823529,0,0.2,0.174242424242424,0.5,0,0,0,0,0,0,0.805505685218432,WR,GB,t,nyg,7.96666653951009,5500,0.68,0,0.666666666666667,1,0.829931972789116,0.861111111111111,0.575,0.106382978723404,0.735714285714286,0.928571428571428,0.622448979591837,0,1,0.6,0.656,1,1,0,0.75,1,0.829931972789116,0.861111111111111,0.8,0.435483870967742,1,0,0.0769230769230769,1,0.874820143884892,1,0,0.739130434782609,0.681818181818181,1,0.666666666666667,1,0.25,1,0.826086956521739,1,0.829931972789116,0.861111111111111,0.468085106382979,0.769620253164557,1,0.451612903225807,0.571428571428571,0.5,0.230769230769231,0.333333333333333,0,0.666666666666667,1,0.400990099009901,0.142857142857143,0,0,11.6234531402588
11,"Cobb, Randall",0,gb,vs DET,W  34-27,0,0,0,0,0,0,0,0,det,0,0.00961538461538462,1,0,0.1,0.25,0,0,0,0,0,0,0,0.777977259126272,WR,GB,t,nyg,6.79999987284342,7100,0.68,0,0.666666666666667,1,0.829931972789116,0.861111111111111,0.575,0.106382978723404,0.735714285714286,0.928571428571428,0.622448979591837,0,1,0.6,0.656,1,1,0,0.75,1,0.829931972789116,0.861111111111111,0.8,0.435483870967742,1,0,0.0769230769230769,1,0.874820143884892,1,0,0.739130434782609,0.681818181818181,1,0.666666666666667,1,0.25,1,0.826086956521739,1,0.829931972789116,0.861111111111111,0.468085106382979,0.769620253164557,1,0.451612903225807,0.571428571428571,0.5,0.230769230769231,0.333333333333333,0,0.666666666666667,1,0.400990099009901,0.142857142857143,0,0,11.2196598052979
11,"Crosby, Mason",0,gb,vs DET,W  34-27,0,0,0,0,0,0,0,0,det,0,0.00961538461538462,0.0294117647058824,0,0,0,0,1,1,1,1,1,0,0.973269499301815,K,GB,t,nyg,7.33333333333333,4500,0.68,0,0.666666666666667,1,0.829931972789116,0.861111111111111,0.575,0.106382978723404,0.735714285714286,0.928571428571428,0.622448979591837,0,1,0.6,0.656,1,1,0,0.75,1,0.829931972789116,0.861111111111111,0.8,0.435483870967742,1,0,0.0769230769230769,1,0.874820143884892,1,0,0.739130434782609,0.681818181818181,1,0.666666666666667,1,0.25,1,0.826086956521739,1,0.829931972789116,0.861111111111111,0.468085106382979,0.769620253164557,1,0.451612903225807,0.571428571428571,0.5,0.230769230769231,0.333333333333333,0,0.666666666666667,1,0.400990099009901,0.142857142857143,0,0,13.2688150405884
11,"Davis, Trevor",0,gb,vs DET,W  34-27,0,0,0,0,0,0,0,0,det,0,0.00961538461538462,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0.852383802114502,WR,GB,t,nyg,0,4500,0.68,0,0.666666666666667,1,0.829931972789116,0.861111111111111,0.575,0.106382978723404,0.735714285714286,0.928571428571428,0.622448979591837,0,1,0.6,0.656,1,1,0,0.75,1,0.829931972789116,0.861111111111111,0.8,0.435483870967742,1,0,0.0769230769230769,1,0.874820143884892,1,0,0.739130434782609,0.681818181818181,1,0.666666666666667,1,0.25,1,0.826086956521739,1,0.829931972789116,0.861111111111111,0.468085106382979,0.769620253164557,1,0.451612903225807,0.571428571428571,0.5,0.230769230769231,0.333333333333333,0,0.666666666666667,1,0.400990099009901,0.142857142857143,0,0,1.23293232917786
11,"Lacy, Eddie",0,gb,vs DET,W  34-27,0,0,0,0,0,0,0,0,det,1,1,0.208823529411765,0,0,0,0,0,0,0,0,0,0,0.333333333333333,RB,GB,t,nyg,8.09999974568685,7100,0.68,0,0.666666666666667,1,0.829931972789116,0.861111111111111,0.575,0.106382978723404,0.735714285714286,0.928571428571428,0.622448979591837,0,1,0.6,0.656,1,1,0,0.75,1,0.829931972789116,0.861111111111111,0.8,0.435483870967742,1,0,0.0769230769230769,1,0.874820143884892,1,0,0.739130434782609,0.681818181818181,1,0.666666666666667,1,0.25,1,0.826086956521739,1,0.829931972789116,0.861111111111111,0.468085106382979,0.769620253164557,1,0.451612903225807,0.571428571428571,0.5,0.230769230769231,0.333333333333333,0,0.666666666666667,1,0.400990099009901,0.142857142857143,0,0,16.8740692138672
11,"Lacy, Eddie",0,gb,vs DET,W  34-27,0,0,0,0,0,0,0,0,det,0,0.00961538461538462,0.0882352941176471,0,0.1,0.0151515151515152,0,0,0,0,0,0,0,0.333333333333333,RB,GB,t,nyg,8.09999974568685,7100,0.68,0,0.666666666666667,1,0.829931972789116,0.861111111111111,0.575,0.106382978723404,0.735714285714286,0.928571428571428,0.622448979591837,0,1,0.6,0.656,1,1,0,0.75,1,0.829931972789116,0.861111111111111,0.8,0.435483870967742,1,0,0.0769230769230769,1,0.874820143884892,1,0,0.739130434782609,0.681818181818181,1,0.666666666666667,1,0.25,1,0.826086956521739,1,0.829931972789116,0.861111111111111,0.468085106382979,0.769620253164557,1,0.451612903225807,0.571428571428571,0.5,0.230769230769231,0.333333333333333,0,0.666666666666667,1,0.400990099009901,0.142857142857143,0,0,15.6079025268555
11,"Montgomery, Ty",0,gb,vs DET,W  34-27,0,0,0,0,0,0,0,0,det,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0.831238779174147,WR,GB,t,nyg,-0.0333333338300387,4500,0.68,0,0.666666666666667,1,0.829931972789116,0.861111111111111,0.575,0.106382978723404,0.735714285714286,0.928571428571428,0.622448979591837,0,1,0.6,0.656,1,1,0,0.75,1,0.829931972789116,0.861111111111111,0.8,0.435483870967742,1,0,0.0769230769230769,1,0.874820143884892,1,0,0.739130434782609,0.681818181818181,1,0.666666666666667,1,0.25,1,0.826086956521739,1,0.829931972789116,0.861111111111111,0.468085106382979,0.769620253164557,1,0.451612903225807,0.571428571428571,0.5,0.230769230769231,0.333333333333333,0,0.666666666666667,1,0.400990099009901,0.142857142857143,0,0,1.13775134086609
11,"Nelson, Jordy",0,gb,vs DET,W  34-27,0,0,0,0,0,0,0,0,det,0,0.00961538461538462,0.523529411764706,0,0.6,0.765151515151515,1,0,0,0,0,0,0,0.503889886295631,WR,GB,t,nyg,17.6999994913737,8400,0.68,0,0.666666666666667,1,0.829931972789116,0.861111111111111,0.575,0.106382978723404,0.735714285714286,0.928571428571428,0.622448979591837,0,1,0.6,0.656,1,1,0,0.75,1,0.829931972789116,0.861111111111111,0.8,0.435483870967742,1,0,0.0769230769230769,1,0.874820143884892,1,0,0.739130434782609,0.681818181818181,1,0.666666666666667,1,0.25,1,0.826086956521739,1,0.829931972789116,0.861111111111111,0.468085106382979,0.769620253164557,1,0.451612903225807,0.571428571428571,0.5,0.230769230769231,0.333333333333333,0,0.666666666666667,1,0.400990099009901,0.142857142857143,0,0,32.7388572692871
11,"Perillo, Justin",0,gb,vs DET,W  34-27,0,0,0,0,0,0,0,0,det,0,0.00961538461538462,0.411764705882353,0,0.1,0.0984848484848485,0,0,0,0,0,0,0,0.678835028924796,TE,GB,t,nyg,1.79999995231628,4500,0.68,0,0.666666666666667,1,0.829931972789116,0.861111111111111,0.575,0.106382978723404,0.735714285714286,0.928571428571428,0.622448979591837,0,1,0.6,0.656,1,1,0,0.75,1,0.829931972789116,0.861111111111111,0.8,0.435483870967742,1,0,0.0769230769230769,1,0.874820143884892,1,0,0.739130434782609,0.681818181818181,1,0.666666666666667,1,0.25,1,0.826086956521739,1,0.829931972789116,0.861111111111111,0.468085106382979,0.769620253164557,1,0.451612903225807,0.571428571428571,0.5,0.230769230769231,0.333333333333333,0,0.666666666666667,1,0.400990099009901,0.142857142857143,0,0,1.21524047851563
11,"Rodgers, Aaron",0,gb,vs DET,W  34-27,0.416666666666667,0.413793103448276,0.506172839506173,1,0,1,0,1,det,0,0.00961538461538462,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0.00538599640933573,QB,GB,t,nyg,22.793332417806,9100,0.68,0,0.666666666666667,1,0.829931972789116,0.861111111111111,0.575,0.106382978723404,0.735714285714286,0.928571428571428,0.622448979591837,0,1,0.6,0.656,1,1,0,0.75,1,0.829931972789116,0.861111111111111,0.8,0.435483870967742,1,0,0.0769230769230769,1,0.874820143884892,1,0,0.739130434782609,0.681818181818181,1,0.666666666666667,1,0.25,1,0.826086956521739,1,0.829931972789116,0.861111111111111,0.468085106382979,0.769620253164557,1,0.451612903225807,0.571428571428571,0.5,0.230769230769231,0.333333333333333,0,0.666666666666667,1,0.400990099009901,0.142857142857143,0,0,28.7821369171143
