TeamID,Name,Week,Team.x,Opp,Score,Comp.x,Att,Yds,TD,Int.x,Sck.x,FUM,Rate.x,Oppt.x,Avg,Rec,FG.Made,FG.Att,XP.Made,XP.Att,Pts,Year,GID,Pos,Team.y,h.a,Oppt.y,FD.points,FD.salary,TeamID.y,Team,Rk.x,G.x,Pts.G.x,TotPts.x,Att.x,Att.G.x,Yds.x,Avg.x,Yds.G.x,TD.x,Lng.x,X1st.x,X1st..x,X20..x,X40..x,FUM.x,Rk.y,G.y,Pts.G.y,TotPts.y,Comp.y,Att.y,Pct,Att.G.y,Yds.y,Avg.y,Yds.G.y,TD.y,Int.y,X1st.y,X1st..y,Lng.y,X20..y,X40..y,Sck.y,Rate.y,Rk,G,Pts.G,TotPts,Scrm.Plys,Yds.G,Yds.P,X1st.G,X3rd.Md,X3rd.Att,X3rd.Pct,X4th.Md,X4th.Att,X4th.Pct,Pen,Pen.Yds,ToP.G,FUM.y,Lost,Scored Label Mean,Scored Label Standard Deviation
3,"Bortles, Blake",3,jax,vs BAL,L  17-19,24,38,194,2,3,4,0,60.6,bal,0,0,0,0,0,0,0,2016,1442,QB,JAC,t,ind,17.0066668192546,7700,14,Baltimore Ravens,8,3,14.7,44,68,22.7,258,3.8,86,2,85T,8,11.8,1,1,1,3,3,14.7,44,59,93,63.4,31,505,6.1,168.3,4,5,32,34.4,47,5,1,9,72.2,2,3,14.7,44,170,254.3,4.5,14,17,44,39,3,3,100,23,223,28:21,3,0,14.9549961685824,5.32117938265019
3,"Bortles, Blake",3,jax,vs BAL,L  17-19,0,3,17,0,0,0,0,0,bal,5.7,0,0,0,0,0,0,2016,1442,QB,JAC,t,ind,17.0066668192546,7700,14,Baltimore Ravens,8,3,14.7,44,68,22.7,258,3.8,86,2,85T,8,11.8,1,1,1,3,3,14.7,44,59,93,63.4,31,505,6.1,168.3,4,5,32,34.4,47,5,1,9,72.2,2,3,14.7,44,170,254.3,4.5,14,17,44,39,3,3,100,23,223,28:21,3,0,11.6047712096333,5.42530371363667
3,"Hurns, Allen",3,jax,vs BAL,L  17-19,0,0,40,0,0,0,0,0,bal,10,4,0,0,0,0,0,2016,5341,WR,JAC,t,ind,8.13333320617676,6100,14,Baltimore Ravens,8,3,14.7,44,68,22.7,258,3.8,86,2,85T,8,11.8,1,1,1,3,3,14.7,44,59,93,63.4,31,505,6.1,168.3,4,5,32,34.4,47,5,1,9,72.2,2,3,14.7,44,170,254.3,4.5,14,17,44,39,3,3,100,23,223,28:21,3,0,6.210720516755,3.11275844406941
3,"Lee, Marqise",3,jax,vs BAL,L  17-19,0,0,44,0,0,0,0,0,bal,8.8,5,0,0,0,0,0,2016,5256,WR,JAC,t,ind,6.70000012715658,4500,14,Baltimore Ravens,8,3,14.7,44,68,22.7,258,3.8,86,2,85T,8,11.8,1,1,1,3,3,14.7,44,59,93,63.4,31,505,6.1,168.3,4,5,32,34.4,47,5,1,9,72.2,2,3,14.7,44,170,254.3,4.5,14,17,44,39,3,3,100,23,223,28:21,3,0,6.5976236088305,2.98163087954039
3,"Lewis, Marcedes",3,jax,vs BAL,L  17-19,0,0,20,0,0,0,0,0,bal,6.7,3,0,0,0,0,0,2016,4324,TE,JAC,t,ind,6,4600,14,Baltimore Ravens,8,3,14.7,44,68,22.7,258,3.8,86,2,85T,8,11.8,1,1,1,3,3,14.7,44,59,93,63.4,31,505,6.1,168.3,4,5,32,34.4,47,5,1,9,72.2,2,3,14.7,44,170,254.3,4.5,14,17,44,39,3,3,100,23,223,28:21,3,0,3.78888341543514,1.49273686340849
3,"Myers, Jason",3,jax,vs BAL,L  17-19,0,0,0,0,0,0,0,0,bal,0,0,1,2,2,2,5,2016,6236,K,JAC,t,ind,7,4500,14,Baltimore Ravens,8,3,14.7,44,68,22.7,258,3.8,86,2,85T,8,11.8,1,1,1,3,3,14.7,44,59,93,63.4,31,505,6.1,168.3,4,5,32,34.4,47,5,1,9,72.2,2,3,14.7,44,170,254.3,4.5,14,17,44,39,3,3,100,23,223,28:21,3,0,5.53417624521073,3.01437613392755
3,"Robinson, Allen",3,jax,vs BAL,L  17-19,0,0,57,2,0,0,0,0,bal,8.1,7,0,0,0,0,0,2016,5258,WR,JAC,t,ind,12.7666664123535,8300,14,Baltimore Ravens,8,3,14.7,44,68,22.7,258,3.8,86,2,85T,8,11.8,1,1,1,3,3,14.7,44,59,93,63.4,31,505,6.1,168.3,4,5,32,34.4,47,5,1,9,72.2,2,3,14.7,44,170,254.3,4.5,14,17,44,39,3,3,100,23,223,28:21,3,0,18.4578927203065,5.60325238807099
3,"Yeldon, T.J.",3,jax,vs BAL,L  17-19,0,6,17,0,0,0,0,0,bal,2.8,0,0,0,0,0,0,2016,2993,RB,JAC,t,ind,8.83333333333333,6700,14,Baltimore Ravens,8,3,14.7,44,68,22.7,258,3.8,86,2,85T,8,11.8,1,1,1,3,3,14.7,44,59,93,63.4,31,505,6.1,168.3,4,5,32,34.4,47,5,1,9,72.2,2,3,14.7,44,170,254.3,4.5,14,17,44,39,3,3,100,23,223,28:21,3,0,4.99660572888159,4.05638329520033
3,"Yeldon, T.J.",3,jax,vs BAL,L  17-19,0,0,11,0,0,0,0,0,bal,5.5,2,0,0,0,0,0,2016,2993,RB,JAC,t,ind,8.83333333333333,6700,14,Baltimore Ravens,8,3,14.7,44,68,22.7,258,3.8,86,2,85T,8,11.8,1,1,1,3,3,14.7,44,59,93,63.4,31,505,6.1,168.3,4,5,32,34.4,47,5,1,9,72.2,2,3,14.7,44,170,254.3,4.5,14,17,44,39,3,3,100,23,223,28:21,3,0,4.70431872087045,3.49501645622273
8,"Ajayi, Jay",3,mia,vs CLE,W  30-24,0,7,28,1,0,0,0,0,cle,4,0,0,0,0,0,0,2016,2998,RB,MIA,t,cin,6.65000009536743,5500,7,Cleveland Browns,18,3,28,84,85,28.3,328,3.9,109.3,2,19,16,18.8,0,0,1,24,3,28,84,72,121,59.5,40.3,883,7.4,294.3,7,4,46,38,42T,13,1,3,88.1,25,3,28,84,209,403.7,5.8,22.7,17,41,42,1,2,50,19,142,33:10,3,1,11.3364559386973,5.82350302986585
