"","TeamID","Name","Week","Team.x","Opp","Score","PlayerCompletions","PlayerPassingAttempts","PlayerPassingYds","PlayerPassingTDs","PlayerInterceptions","PlayerSacked","FUM.x","PlayerPassRating","Oppt.x","PlayerRushingAttempts","PlayerRushingYds","Avg","PlayerRushingTDs","PlayerReceptions","PlayerReceivingYds","PlayerReceivingTDs","FG.Made","FG.Att","XP.Made","XP.Att","Pts","Year","GID","Pos","Team.y","h.a","Oppt.y","FD.points","FD.salary","TeamID.y","Team","RunDRk","RushingGamesPlayed","RusingPointsperGameGAllowed","TotalRushingPointsAllowed","TotalRushAttemptsAgainst","RushAttemptsAgainstPerGame","RushYdsAllowed","AverageYardsPerCarryAllowed","RushingYardsPerGameAllowed","RushingTDAllowed","LongestRunAllowed","FirstDownsAllowed","FirstDownPercentageAllowed","20yardsRunOrLongerAllowed","40yardsRunOrLongerAllowed","FumblesCaused","PassDRk","PassingGamesPlayed","PassingPointsperGameGAllowed","TotalPassingPointsAllowed","CompletionsAllowed","TotalPassAttemptsAgainst","CompletionPercentageAllowed","PassAttemptsAgainstPerGame","PassingYdsAllowed","AverageYardsPerPassAllowed","PassingYardsPerGameAllowed","PassingTDAllowed","Interceptions","PassingFirstDownsAllowed","PassingFirstDownPercentageAllowed","LongestPassAllowed","20yardsPassOrLongerAllowed","40yardsPassOrLongerAllowed","Sacs","PassDefenseRating","TotalDRk","G","Pts.G","TotPts","Scrm.Plys","Yds.G","Yds.P","X1st.G","X3rd.Md","X3rd.Att","X3rd.Pct","X4th.Md","X4th.Att","X4th.Pct","Pen","Pen.Yds","ToP.G","FUM.y","Lost"
"1",7,"Anderson, C.J.",3,"den","@ CIN","W  29-17",0,0,0,0,0,0,0,0,"cin",14,37,2.6,0,0,0,0,0,0,0,0,0,2016,2924,"RB","DEN","t","sd","13.7399993896484","8000",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"2",7,"Anderson, C.J.",3,"den","@ CIN","W  29-17",0,0,0,0,0,0,0,0,"cin",0,0,4,0,1,4,0,0,0,0,0,0,2016,2924,"RB","DEN","t","sd","13.7399993896484","8000",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"3",7,"Booker, Devontae",3,"den","@ CIN","W  29-17",0,0,0,0,0,0,0,0,"cin",4,8,2,0,0,0,0,0,0,0,0,0,2016,5468,"RB","DEN","t","sd","3.65999984741211","5100",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"4",7,"Booker, Devontae",3,"den","@ CIN","W  29-17",0,0,0,0,0,0,0,0,"cin",0,0,17,0,1,17,0,0,0,0,0,0,2016,5468,"RB","DEN","t","sd","3.65999984741211","5100",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"5",7,"Fowler, Bennie",3,"den","@ CIN","W  29-17",0,0,0,0,0,0,0,0,"cin",0,0,13,0,1,13,0,0,0,0,0,0,2016,5353,"WR","DEN","t","sd","1.36666663487752","4600",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"6",7,"Janovich, Andy",3,"den","@ CIN","W  29-17",0,0,0,0,0,0,0,0,"cin",1,2,2,0,0,0,0,0,0,0,0,0,2016,5482,"RB","DEN","t","sd","3.15000009536743","4500",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"7",7,"Janovich, Andy",3,"den","@ CIN","W  29-17",0,0,0,0,0,0,0,0,"cin",0,0,13,0,1,13,0,0,0,0,0,0,2016,5482,"RB","DEN","t","sd","3.15000009536743","4500",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"8",7,"Latimer, Cody",3,"den","@ CIN","W  29-17",0,0,0,0,0,0,0,0,"cin",0,0,10,0,1,10,0,0,0,0,0,0,2016,5268,"WR","DEN","t","sd","0.925000011920929","4500",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"9",7,"McManus, Brandon",3,"den","@ CIN","W  29-17",0,0,0,0,0,0,0,0,"cin",0,0,0,0,0,0,0,1,1,2,3,5,2016,6227,"K","DEN","t","sd","8.8","4700",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"10",7,"Norwood, Jordan",3,"den","@ CIN","W  29-17",0,0,0,0,0,0,0,0,"cin",1,0,0,0,0,0,0,0,0,0,0,0,2016,3828,"WR","DEN","t","sd","2.16000003814697","4500",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
