Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
6;2016;1151;Brees, Drew;QB;nor;h;car;33.6;8500
6;2016;1435;Keenum, Case;QB;lar;a;det;30.54;6500
6;2016;1466;Mariota, Marcus;QB;ten;h;cle;28.76;7600
6;2016;1340;Stafford, Matthew;QB;det;h;lar;28.2;8000
6;2016;1378;Newton, Cam;QB;car;a;nor;27.98;8900
6;2016;1131;Brady, Tom;QB;nwe;h;cin;27.24;9000
6;2016;1225;Manning, Eli;QB;nyg;h;bal;26.12;7700
6;2016;1409;Luck, Andrew;QB;ind;a;hou;24.38;8600
6;2016;1301;Ryan, Matt;QB;atl;a;sea;22.6;7600
6;2016;1403;Dalton, Andy;QB;cin;a;nwe;21.86;7600
6;2016;1492;Kessler, Cody;QB;cle;a;ten;21.74;6300
6;2016;1400;Taylor, Tyrod;QB;buf;h;sfo;19.96;7800
6;2016;1501;Prescott, Dak;QB;dal;a;gnb;19.48;7200
6;2016;1415;Cousins, Kirk;QB;was;h;phi;18.32;7400
6;2016;1404;Kaepernick, Colin;QB;sfo;a;buf;18.08;6400
6;2016;1414;Osweiler, Brock;QB;hou;h;ind;17.36;6900
6;2016;1252;Rodgers, Aaron;QB;gnb;h;dal;13.46;8800
6;2016;1488;Siemian, Trevor;QB;den;a;sdg;13.3;7300
6;2016;1207;Palmer, Carson;QB;ari;h;nyj;12.42;7700
6;2016;1302;Flacco, Joe;QB;bal;a;nyg;12.28;7500
6;2016;1336;Hoyer, Brian;QB;chi;h;jac;12.08;7000
6;2016;1442;Bortles, Blake;QB;jac;a;chi;11.94;7800
6;2016;1232;Roethlisberger, Ben;QB;pit;a;mia;11.56;8700
6;2016;1412;Wilson, Russell;QB;sea;h;atl;11.5;8400
6;2016;1231;Rivers, Philip;QB;sdg;h;den;11.12;7600
6;2016;1441;Carr, Derek;QB;oak;h;kan;10.8;7900
6;2016;1410;Tannehill, Ryan;QB;mia;h;pit;10.38;7100
6;2016;1254;Smith, Alex;QB;kan;a;oak;8.86;6800
6;2016;1514;Wentz, Carson;QB;phi;a;was;7.36;7500
6;2016;1242;Fitzpatrick, Ryan;QB;nyj;a;ari;6.16;6900
6;2016;1421;Manuel, E.J.;QB;buf;h;sfo;1.1;5000
6;2016;1426;Smith, Geno;QB;nyj;a;ari;0.44;5000
6;2016;1290;Stanton, Drew;QB;ari;h;nyj;0.38;6400
6;2016;1467;McCarron, A.J.;QB;cin;a;nwe;0;5900
6;2016;5071;Webb, Joe;QB;car;a;nor;0;5000
6;2016;1262;Clemens, Kellen;QB;sdg;h;den;0;5000
6;2016;1430;Jones, Landry;QB;pit;a;mia;-0.1;5500
6;2016;5395;Johnson, David;RB;ari;h;nyj;33.3;9100
6;2016;2998;Ajayi, Jay;RB;mia;h;pit;33.2;5800
6;2016;2707;McCoy, LeSean;RB;buf;h;sfo;33.2;8200
6;2016;2859;Miller, Lamar;RB;hou;h;ind;31.3;7900
6;2016;2929;West, Terrance;RB;bal;a;nyg;26.3;6500
6;2016;2914;Ware, Spencer;RB;kan;a;oak;23.3;5700
6;2016;2954;White, James;RB;nwe;h;cin;22.6;5700
6;2016;2898;Michael, Christine;RB;sea;h;atl;21.8;7400
6;2016;2612;Stewart, Jonathan;RB;car;a;nor;20.5;6300
6;2016;3552;Jones, Matt;RB;was;h;phi;19.5;6500
6;2016;5444;Elliott, Ezekiel;RB;dal;a;gnb;18.4;8100
6;2016;2888;Bell, Le'Veon;RB;pit;a;mia;15.8;9300
6;2016;2997;Johnson, Duke;RB;cle;a;ten;15.4;5100
6;2016;2721;Blount, LeGarrette;RB;nwe;h;cin;14;7000
6;2016;2831;Murray, DeMarco;RB;ten;h;cle;12.5;8800
6;2016;2894;Gillislee, Mike;RB;buf;h;sfo;12;4900
6;2016;2992;Gurley, Todd;RB;lar;a;det;11.7;7900
6;2016;2629;Charles, Jamaal;RB;kan;a;oak;11.7;7100
6;2016;2889;Bernard, Giovani;RB;cin;a;nwe;11.4;5700
6;2016;2467;Gore, Frank;RB;ind;a;hou;11.3;6300
6;2016;5447;Howard, Jordan;RB;chi;h;jac;11;7700
6;2016;2741;Ivory, Chris;RB;jac;a;chi;10.5;5400
6;2016;2991;Gordon, Melvin;RB;sdg;h;den;9.4;7100
6;2016;2924;Anderson, C.J.;RB;den;a;sdg;9.1;7500
6;2016;2957;Williams, Damien;RB;mia;h;pit;8.7;4600
6;2016;5397;Zenner, Zach;RB;det;h;lar;8.7;5300
6;2016;5473;Smallwood, Wendell;RB;phi;a;was;8.5;5300
6;2016;2915;Thompson, Chris;RB;was;h;phi;8.1;5200
6;2016;2896;Lacy, Eddie;RB;gnb;h;dal;7.6;7000
6;2016;5450;Collins, Alex;RB;sea;h;atl;7.6;4500
6;2016;2793;Ingram, Mark;RB;nor;h;car;7;6700
6;2016;2930;Freeman, Devonta;RB;atl;a;sea;6.5;7100
6;2016;5468;Booker, Devontae;RB;den;a;sdg;6.3;5000
6;2016;2754;Mathews, Ryan;RB;phi;a;was;6;6500
6;2016;5493;Kelley, Rob;RB;was;h;phi;5.9;4800
6;2016;2658;Jennings, Rashad;RB;nyg;h;bal;5.5;5700
6;2016;2933;Hyde, Carlos;RB;sfo;a;buf;5.2;7300
6;2016;2972;Carey, Ka'Deem;RB;chi;h;jac;5;4500
6;2016;2869;Cadet, Travaris;RB;nor;h;car;5;5000
6;2016;2775;Spiller, C.J.;RB;sea;h;atl;5;5000
6;2016;5449;Washington, DeAndre;RB;oak;h;kan;4.9;5500
6;2016;2969;Crowell, Isaiah;RB;cle;a;ten;4.6;6500
6;2016;2928;Hill, Jeremy;RB;cin;a;nwe;4.6;6900
6;2016;2908;Juszczyk, Kyle;RB;bal;a;nyg;4.5;4500
6;2016;2867;Turbin, Robert;RB;ind;a;hou;4.4;4500
6;2016;2863;Rainey, Bobby;RB;nyg;h;bal;3.9;5000
6;2016;2819;Powell, Bilal;RB;nyj;a;ari;3.7;5400
6;2016;5445;Henry, Derrick;RB;ten;h;cle;3.7;5300
6;2016;5472;Perkins, Paul;RB;nyg;h;bal;3.6;4500
6;2016;2911;Cunningham, Benny;RB;lar;a;det;3.3;4500
6;2016;2993;Yeldon, T.J.;RB;jac;a;chi;3.1;6700
6;2016;2484;Sproles, Darren;RB;phi;a;was;2.9;5300
6;2016;2613;Forte, Matt;RB;nyj;a;ari;2.7;6800
6;2016;2696;Foster, Arian;RB;mia;h;pit;2.5;6500
6;2016;2892;Ellington, Andre;RB;ari;h;nyj;2.5;4500
6;2016;3953;McCluster, Dexter;RB;sdg;h;den;2.5;4500
6;2016;5320;Davis, Mike;RB;sfo;a;buf;2.4;4500
6;2016;5490;Richard, Jalen;RB;oak;h;kan;2.3;5100
6;2016;2994;Coleman, Tevin;RB;atl;a;sea;2.2;5900
6;2016;2987;West, Charcandrick;RB;kan;a;oak;1.9;4600
6;2016;5469;Dixon, Kenneth;RB;bal;a;nyg;1.7;5600
6;2016;2890;Burkhead, Rex;RB;cin;a;nwe;1.6;4500
6;2016;5487;Lasco, Daniel;RB;nor;h;car;1.4;4500
6;2016;2903;Taylor, Stepfan;RB;ari;h;nyj;1.4;4500
6;2016;5504;Watt, Derek;RB;sdg;h;den;1.3;4500
6;2016;2960;Blue, Alfred;RB;hou;h;ind;1.3;4500
6;2016;2647;Tolbert, Mike;RB;car;a;nor;1.2;4700
6;2016;2500;Williams, DeAngelo;RB;pit;a;mia;1;5900
6;2016;5470;Ervin, Tyler;RB;hou;h;ind;0.9;4500
6;2016;2805;DiMarco, Patrick;RB;atl;a;sea;0.8;4500
6;2016;2916;Whittaker, Fozzy;RB;car;a;nor;0.8;5600
6;2016;5406;Ripkowski, Aaron;RB;gnb;h;dal;0.7;4500
6;2016;2495;Bush, Reggie;RB;buf;h;sfo;0.6;4900
6;2016;2887;Barner, Kenjon;RB;phi;a;was;0.6;5000
6;2016;2642;Forsett, Justin;RB;det;h;lar;0.5;4900
6;2016;5494;Farrow, Kenneth;RB;sdg;h;den;0.5;4500
6;2016;2875;Draughn, Shaun;RB;sfo;a;buf;0.2;4600
6;2016;2871;Morris, Alfred;RB;dal;a;gnb;0.2;5000
6;2016;5451;Williams, Jonathan;RB;buf;h;sfo;0.1;4500
6;2016;5373;Lasike, Paul;RB;chi;h;jac;0.1;4500
6;2016;2825;Develin, James;RB;nwe;h;cin;0;4500
6;2016;5415;Burton, Michael;RB;det;h;lar;0;4500
6;2016;2549;Kuhn, John;RB;nor;h;car;0;4500
6;2016;5484;Ferguson, Josh;RB;ind;a;hou;0;4500
6;2016;2901;Robinson, Denard;RB;jac;a;chi;0;4500
6;2016;2840;Todman, Jordan;RB;ind;a;hou;0;4500
6;2016;5495;Foster, D.J.;RB;nwe;h;cin;0;4700
6;2016;5441;Brown, Malcolm;RB;lar;a;det;0;4500
6;2016;2919;Reynolds, Chase;RB;lar;a;det;0;4500
6;2016;2719;Bell, Joique;RB;chi;h;jac;0;5600
6;2016;2940;Andrews, Antonio;RB;ten;h;cle;0;4500
6;2016;2822;Sherman, Anthony;RB;kan;a;oak;0;4500
6;2016;5446;Drake, Kenyan;RB;mia;h;pit;0;5000
6;2016;5370;Allen, Javorius;RB;bal;a;nyg;0;5300
6;2016;5403;Nix, Roosevelt;RB;pit;a;mia;0;4500
6;2016;2624;Felton, Jerome;RB;buf;h;sfo;0;4500
6;2016;2978;Hewitt, Ryan;RB;cin;a;nwe;0;4500
6;2016;2949;Atkinson, George;RB;cle;a;ten;0;4500
6;2016;2820;Jones, Taiwan;RB;oak;h;kan;0;4500
6;2016;3191;Smith, Rod;RB;dal;a;gnb;0;4500
6;2016;5482;Janovich, Andy;RB;den;a;sdg;0;4500
6;2016;5413;Fowler, Jalston;RB;ten;h;cle;0;4500
6;2016;2963;Bibbs, Kapri;RB;den;a;sdg;0;4500
6;2016;2990;Toussaint, Fitzgerald;RB;pit;a;mia;0;4500
6;2016;2604;Hightower, Tim;RB;nor;h;car;0;4500
6;2016;2913;Olawale, Jamize;RB;oak;h;kan;0;4500
6;2016;4663;Johnson, Malcolm;RB;cle;a;ten;0;4500
6;2016;2980;Prosch, Jay;RB;hou;h;ind;0;4500
6;2016;5323;Beckham Jr., Odell;WR;nyg;h;bal;36.2;8300
6;2016;3824;Britt, Kenny;WR;lar;a;det;29.1;5800
6;2016;5255;Cooks, Brandin;WR;nor;h;car;27;7500
6;2016;3995;Tate, Golden;WR;det;h;lar;26.8;6400
6;2016;1407;Pryor, Terrelle;WR;cle;a;ten;24.34;7000
6;2016;5089;Jones, Julio;WR;atl;a;sea;23.4;8500
6;2016;5162;Wright, Kendall;WR;ten;h;cle;23.3;4500
6;2016;5163;Beasley, Cole;WR;dal;a;gnb;20.8;5900
6;2016;5376;Cooper, Amari;WR;oak;h;kan;17.9;7100
6;2016;5417;Meredith, Cameron;WR;chi;h;jac;16.8;5400
6;2016;5459;Thomas, Michael;WR;nor;h;car;16.3;5400
6;2016;3423;Boldin, Anquan;WR;det;h;lar;16;6000
6;2016;5113;Smith, Torrey;WR;sfo;a;buf;15.1;5300
6;2016;5125;Cobb, Randall;WR;gnb;h;dal;14.8;7000
6;2016;5182;Matthews, Rishard;WR;ten;h;cle;14.5;5400
6;2016;5217;Woods, Robert;WR;buf;h;sfo;13.5;5500
6;2016;5392;Montgomery, Ty;WR;gnb;h;dal;13.4;4500
6;2016;5159;Sanu, Mohamed;WR;atl;a;sea;13.2;5500
6;2016;5153;Jeffery, Alshon;WR;chi;h;jac;12.8;7600
6;2016;5257;Benjamin, Kelvin;WR;car;a;nor;12.6;7800
6;2016;5335;Landry, Jarvis;WR;mia;h;pit;12.6;6900
6;2016;3848;Heyward-Bey, Darrius;WR;pit;a;mia;12;4500
6;2016;5091;Green, A.J.;WR;cin;a;nwe;11.8;8400
6;2016;5381;Funchess, Devin;WR;car;a;nor;11.8;4800
6;2016;5410;Crowder, Jamison;WR;was;h;phi;11.8;6000
6;2016;3809;Wallace, Mike;WR;bal;a;nyg;11.7;6400
6;2016;5206;Hopkins, DeAndre;WR;hou;h;ind;11.6;8100
6;2016;3885;Benn, Arrelious;WR;jac;a;chi;11.6;
6;2016;3754;Garcon, Pierre;WR;was;h;phi;10.7;6000
6;2016;5288;Hamilton, Cobi;WR;pit;a;mia;10.6;0
6;2016;5455;Boyd, Tyler;WR;cin;a;nwe;9.9;5000
6;2016;5341;Hurns, Allen;WR;jac;a;chi;9.9;6200
6;2016;5353;Fowler, Bennie;WR;den;a;sdg;9.7;4600
6;2016;5216;Williams, Terrance;WR;dal;a;gnb;9.5;5600
6;2016;5207;Hunter, Justin;WR;buf;h;sfo;9.5;4900
6;2016;5148;Floyd, Michael;WR;ari;h;nyj;9.2;6500
6;2016;5256;Lee, Marqise;WR;jac;a;chi;9.1;4500
