Name	Team	Opp	Score	Att	Yds	Avg	TD	FUM
Le'Veon Bell	PIT	vs KC	W  43-14	18	144	8.0	0	0
Ezekiel Elliott	DAL	@ SF	W  24-17	23	138	6.0	1	0
Matt Jones	WAS	vs CLE	W  31-20	22	117	5.3	1	0
Terrance West	BAL	vs OAK	L  27-28	21	113	5.4	1	0
Isaiah Crowell	CLE	@ WAS	L  20-31	15	112	7.5	1	0
Jordan Howard	CHI	vs DET	W  17-14	23	111	4.8	0	0
DeMarco Murray	TEN	@ HOU	L  20-27	25	95	3.8	2	0
David Johnson	ARI	vs LA	L  13-17	17	83	4.9	0	1
Lamar Miller	HOU	vs TEN	W  27-20	19	82	4.3	0	0
Spencer Ware	KC	@ PIT	L  14-43	13	82	6.3	0	1
Carlos Hyde	SF	vs DAL	L  17-24	15	74	4.9	1	0
Jeremy Hill	CIN	vs MIA	W  22-7	21	71	3.4	0	0
T.J. Yeldon	JAX	vs IND	W  30-27	14	71	5.1	0	0
LeSean McCoy	BUF	@ NE	W  16-0	19	70	3.7	0	0
Frank Gore	IND	@ JAX	L  27-30	16	68	4.2	1	0
Christine Michael	SEA	@ NYJ	W  27-17	18	58	3.2	0	0
Devonta Freeman	ATL	vs CAR	W  48-33	13	57	4.4	1	0
Mark Ingram	NO	@ SD	W  35-34	18	56	3.1	1	0
LeGarrette Blount	NE	vs BUF	L  0-16	13	54	4.2	0	0
Duke Johnson	CLE	@ WAS	L  20-31	9	53	5.9	0	1
C.J. Anderson	DEN	@ TB	W  27-7	19	49	2.6	1	0
Blake Bortles	JAX	vs IND	W  30-27	7	36	5.1	1	0
Melvin Gordon	SD	vs NO	L  34-35	19	36	1.9	2	1
Chris Johnson	ARI	vs LA	L  13-17	6	34	5.7	0	0
Alfred Morris	DAL	@ SF	W  24-17	7	34	4.9	0	0
Jay Ajayi	MIA	@ CIN	L  7-22	6	33	5.5	0	0
Todd Gurley	LA	@ ARI	W  17-13	19	33	1.7	0	0
Theo Riddick	DET	@ CHI	L  14-17	11	31	2.8	0	0
Devontae Booker	DEN	@ TB	W  27-7	7	30	4.3	0	0
Mike Gillislee	BUF	@ NE	W  16-0	6	30	5.0	0	0
Cam Newton	CAR	@ ATL	L  33-48	5	30	6.0	0	0
DeAndre Washington	OAK	@ BAL	W  28-27	5	30	6.0	0	1
