Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
5;2016;1466;Mariota, Marcus;QB;ten;a;mia;30.52;7000
5;2016;1131;Brady, Tom;QB;nwe;a;cle;29.64;8700
5;2016;1232;Roethlisberger, Ben;QB;pit;h;nyj;29.2;8600
5;2016;1231;Rivers, Philip;QB;sdg;a;oak;28.36;8300
5;2016;1336;Hoyer, Brian;QB;chi;a;ind;23.78;6000
5;2016;1441;Carr, Derek;QB;oak;h;sdg;22.98;8100
5;2016;1409;Luck, Andrew;QB;ind;h;chi;22.18;8600
5;2016;1403;Dalton, Andy;QB;cin;a;dal;22.16;7800
5;2016;1381;Gabbert, Blaine;QB;sfo;h;ari;21.48;6500
5;2016;1340;Stafford, Matthew;QB;det;h;phi;18.8;8200
5;2016;1344;Bradford, Sam;QB;min;h;hou;18.64;7400
5;2016;1514;Wentz, Carson;QB;phi;a;det;17.92;7500
5;2016;1252;Rodgers, Aaron;QB;gnb;h;nyg;17.86;9100
5;2016;1501;Prescott, Dak;QB;dal;h;cin;17.48;7300
5;2016;1400;Taylor, Tyrod;QB;buf;a;lar;15.76;7600
5;2016;1242;Fitzpatrick, Ryan;QB;nyj;a;pit;15.1;6900
5;2016;1301;Ryan, Matt;QB;atl;a;den;14.98;7700
5;2016;1516;Lynch, Paxton;QB;den;h;atl;13.72;6800
5;2016;1415;Cousins, Kirk;QB;was;a;bal;13.3;7500
5;2016;1302;Flacco, Joe;QB;bal;h;was;13;7600
5;2016;1290;Stanton, Drew;QB;ari;a;sfo;12.76;6300
5;2016;1272;Whitehurst, Charlie;QB;cle;h;nwe;10.38;6000
5;2016;1414;Osweiler, Brock;QB;hou;a;min;10.36;7200
5;2016;1225;Manning, Eli;QB;nyg;a;gnb;10.06;7700
5;2016;1435;Keenum, Case;QB;lar;h;buf;8.84;6600
5;2016;1492;Kessler, Cody;QB;cle;h;nwe;6.48;6400
5;2016;1410;Tannehill, Ryan;QB;mia;h;ten;5.64;7100
5;2016;1430;Jones, Landry;QB;pit;h;nyj;-0.2;5500
5;2016;1452;Garoppolo, Jimmy;QB;nwe;a;cle;-0.3;6000
5;2016;5395;Johnson, David;RB;ari;a;sfo;32;9000
5;2016;5444;Elliott, Ezekiel;RB;dal;h;cin;30.6;7900
5;2016;2994;Coleman, Tevin;RB;atl;a;den;24.3;5900
5;2016;5447;Howard, Jordan;RB;chi;a;ind;23.8;7200
5;2016;2907;Riddick, Theo;RB;det;h;phi;23.2;6200
5;2016;2933;Hyde, Carlos;RB;sfo;h;ari;20.4;7200
5;2016;2888;Bell, Le'Veon;RB;pit;h;nyj;19.9;8600
5;2016;2930;Freeman, Devonta;RB;atl;a;den;19.8;7400
5;2016;2873;Asiata, Matt;RB;min;h;hou;17.6;5800
5;2016;2707;McCoy, LeSean;RB;buf;a;lar;16.8;7800
5;2016;2992;Gurley, Todd;RB;lar;h;buf;16.3;7600
5;2016;2831;Murray, DeMarco;RB;ten;a;mia;16.2;8400
5;2016;2754;Mathews, Ryan;RB;phi;a;det;14;6300
5;2016;2991;Gordon, Melvin;RB;sdg;a;oak;13.2;7700
5;2016;5490;Richard, Jalen;RB;oak;h;sdg;12.7;4900
5;2016;2889;Bernard, Giovani;RB;cin;a;dal;12.6;5500
5;2016;2954;White, James;RB;nwe;a;cle;10.9;5500
5;2016;2863;Rainey, Bobby;RB;nyg;a;gnb;10.4;4900
5;2016;2998;Ajayi, Jay;RB;mia;h;ten;10.2;5600
5;2016;2929;West, Terrance;RB;bal;h;was;9.9;6400
5;2016;2721;Blount, LeGarrette;RB;nwe;a;cle;9.7;7500
5;2016;2896;Lacy, Eddie;RB;gnb;h;nyg;8.9;7100
5;2016;2913;Olawale, Jamize;RB;oak;h;sdg;8.9;4500
5;2016;2484;Sproles, Darren;RB;phi;a;det;8.8;5400
5;2016;2467;Gore, Frank;RB;ind;h;chi;8.4;6500
5;2016;2819;Powell, Bilal;RB;nyj;a;pit;8.1;5100
5;2016;2957;Williams, Damien;RB;mia;h;ten;8;4900
5;2016;5468;Booker, Devontae;RB;den;h;atl;7.9;5100
5;2016;2924;Anderson, C.J.;RB;den;h;atl;7.7;8000
5;2016;5449;Washington, DeAndre;RB;oak;h;sdg;7.7;4700
5;2016;2613;Forte, Matt;RB;nyj;a;pit;7;7100
5;2016;2777;Starks, James;RB;gnb;h;nyg;6.7;4700
5;2016;2894;Gillislee, Mike;RB;buf;a;lar;6.6;4800
5;2016;2915;Thompson, Chris;RB;was;a;bal;6.5;5400
5;2016;5445;Henry, Derrick;RB;ten;a;mia;5.4;5200
5;2016;2935;McKinnon, Jerick;RB;min;h;hou;5.1;6200
5;2016;3552;Jones, Matt;RB;was;a;bal;4.6;6900
5;2016;2969;Crowell, Isaiah;RB;cle;h;nwe;4.5;6800
5;2016;5397;Zenner, Zach;RB;det;h;phi;4.2;5400
5;2016;2960;Blue, Alfred;RB;hou;a;min;3.9;4600
5;2016;2908;Juszczyk, Kyle;RB;bal;h;was;3.5;4500
5;2016;5441;Brown, Malcolm;RB;lar;h;buf;3.3;4500
5;2016;2871;Morris, Alfred;RB;dal;h;cin;3.3;5100
5;2016;2997;Johnson, Duke;RB;cle;h;nwe;3.2;5300
5;2016;5446;Drake, Kenyan;RB;mia;h;ten;3;5100
5;2016;2859;Miller, Lamar;RB;hou;a;min;2.9;7800
5;2016;5472;Perkins, Paul;RB;nyg;a;gnb;2.7;4500
5;2016;5484;Ferguson, Josh;RB;ind;h;chi;2.3;4500
5;2016;5370;Allen, Javorius;RB;bal;h;was;2.3;5600
