
Name	Team	Opp	Score	Sacks	Sack Yds	QB Hits	Tackles	Assists	Fumbles Forced	Fumbles Recovered
Danny Amendola	NE	vs MIA	W  31-24	0.0	0.0	0	0	0	0	0
David Amerson	OAK	vs ATL	L  28-35	0.0	0.0	0	7	1	0	0
Adrian Amos	CHI	vs PHI	L  14-29	0.0	0.0	0	2	0	0	0
Zaire Anderson	DEN	vs IND	W  34-20	0.0	0.0	0	0	0	0	0
Eli Apple	NYG	vs NO	W  16-13	0.0	0.0	0	6	1	0	0
Thurston Armbrister	DET	vs TEN	L  15-16	0.0	0.0	0	3	0	0	0
Arik Armstead	SF	@ CAR	L  27-46	0.0	0.0	0	0	1	0	0
Ray-Ray Armstrong	SF	@ CAR	L  27-46	0.0	0.0	0	4	0	0	1
Geno Atkins	CIN	@ PIT	L  16-24	0.0	0.0	0	1	2	0	0
Jeremiah Attaochu	SD	vs JAX	W  38-14	0.0	0.0	0	0	0	0	0
Denico Autry	OAK	vs ATL	L  28-35	0.0	0.0	0	0	1	0	0
Cliff Avril	SEA	@ LA	L  3-9	0.0	0.0	0	0	1	0	0
Robert Ayers	TB	@ ARI	L  7-40	0.0	0.0	0	2	0	0	0
Akeem Ayers	IND	@ DEN	L  20-34	0.0	0.0	0	1	0	0	0
Allen Bailey	KC	@ HOU	L  12-19	0.0	0.0	0	0	1	0	0
Chris Baker	WAS	vs DAL	L  23-27	0.0	0.0	0	1	4	0	0
Anthony Barr	MIN	vs GB	W  17-14	0.0	0.0	0	1	1	0	0
Shaquil Barrett	DEN	vs IND	W  34-20	0.0	0.0	0	1	0	0	0
Mark Barron	LA	vs SEA	W  9-3	0.0	0.0	0	9	1	0	0
Connor Barwin	PHI	@ CHI	W  29-14	0.0	0.0	2	0	0	0	0
David Bass	TEN	@ DET	W  16-15	0.0	0.0	0	1	0	0	0
Daren Bates	OAK	vs ATL	L  28-35	0.0	0.0	0	0	0	0	0
Vonn Bell	NO	@ NYG	L  13-16	0.0	0.0	0	7	2	0	0
Nick Bellore	SF	@ CAR	L  27-46	0.0	0.0	0	0	0	0	0
Bene' Benwikere	CAR	vs SF	W  46-27	0.0	0.0	0	3	1	0	0
