Name	Team	Opp	Score	Sacks	Sack Yds	QB Hits	Tackles	Assists	Fumbles Forced	Fumbles Recovered
Ezekiel Ansah	DET	@ IND	W  39-35	0.0	0.0	2	1	1	0	0
Stephone Anthony	NO	vs OAK	L  34-35	0.0	0.0	0	1	0	0	0
Eli Apple	NYG	@ DAL	W  20-19	0.0	0.0	0	4	0	0	0
Ray-Ray Armstrong	SF	vs LA	W  28-0	0.0	0.0	0	3	1	0	0
Denico Autry	OAK	@ NO	W  35-34	0.0	0.0	0	1	2	0	0
Akeem Ayers	IND	vs DET	L  35-39	0.0	0.0	0	1	0	0	0
Jonathan Babineaux	ATL	vs TB	L  24-31	0.0	0.0	0	2	0	0	0
Johnson Bademosi	DET	@ IND	W  39-35	0.0	0.0	0	0	0	0	0
Allen Bailey	KC	vs SD	W  33-27	0.0	0.0	0	2	0	0	0
Chris Baker	WAS	vs PIT	L  16-38	0.0	0.0	1	1	2	0	0
Adairius Barnes	DET	@ IND	W  39-35	0.0	0.0	0	0	0	0	0
Anthony Barr	MIN	@ TEN	W  25-16	0.0	0.0	1	1	1	0	0
Shaquil Barrett	DEN	vs CAR	W  21-20	0.0	0.0	1	1	0	0	0
Mark Barron	LA	@ SF	L  0-28	0.0	0.0	0	2	1	0	0
Daren Bates	OAK	@ NO	W  35-34	0.0	0.0	0	0	0	0	0
Houston Bates	WAS	vs PIT	L  16-38	0.0	0.0	0	0	0	0	0
Arrelious Benn	JAX	vs GB	L  23-27	0.0	0.0	0	0	0	0	0
Bene' Benwikere	CAR	@ DEN	L  20-21	0.0	0.0	0	2	0	0	0
Nat Berhe	NYG	@ DAL	W  20-19	0.0	0.0	0	3	2	0	0
Eric Berry	KC	vs SD	W  33-27	0.0	0.0	0	6	0	0	0
Antoine Bethea	SF	vs LA	W  28-0	0.0	0.0	0	4	0	0	0
Joel Bitonio	CLE	@ PHI	L  10-29	0.0	0.0	0	0	0	0	0
Angelo Blackson	TEN	vs MIN	L  16-25	0.0	0.0	0	1	1	0	0
