Name	Team	Opp	Score	Rec	Yds	Avg	TD	FUM
Julio Jones	ATL	vs CAR	W  48-33	12	300	25.0	1	0
A.J. Green	CIN	vs MIA	W  22-7	10	173	17.3	1	0
John Brown	ARI	vs LA	L  13-17	10	144	14.4	0	0
Dontrelle Inman	SD	vs NO	L  34-35	7	120	17.1	1	0
Jimmy Graham	SEA	@ NYJ	W  27-17	6	113	18.8	0	0
Eddie Royal	CHI	vs DET	W  17-14	7	111	15.9	1	0
Steve Smith	BAL	vs OAK	L  27-28	8	111	13.9	1	0
Martellus Bennett	NE	vs BUF	L  0-16	5	109	21.8	0	0
Demaryius Thomas	DEN	@ TB	W  27-7	6	94	15.7	1	0
Brandon Marshall	NYJ	vs SEA	L  17-27	4	89	22.2	1	0
Robert Woods	BUF	@ NE	W  16-0	7	89	12.7	0	0
Michael Crabtree	OAK	@ BAL	W  28-27	7	88	12.6	3	0
Jeremy Kerley	SF	vs DAL	L  17-24	6	88	14.7	1	0
Emmanuel Sanders	DEN	@ TB	W  27-7	8	88	11.0	1	0
Fozzy Whittaker	CAR	@ ATL	L  33-48	9	86	9.6	0	0
Kenny Britt	LA	@ ARI	W  17-13	4	82	20.5	0	0
Rishard Matthews	TEN	@ HOU	L  20-27	2	82	41.0	0	0
Will Fuller	HOU	vs TEN	W  27-20	7	81	11.6	1	0
Garrett Celek	SF	vs DAL	L  17-24	5	79	15.8	0	0
Sammie Coates	PIT	vs KC	W  43-14	6	79	13.2	0	0
Jeremy Maclin	KC	@ PIT	L  14-43	5	78	15.6	0	0
Greg Olsen	CAR	@ ATL	L  33-48	6	76	12.7	1	0
Marvin Jones	DET	@ CHI	L  14-17	5	74	14.8	0	0
Kenny Stills	MIA	@ CIN	L  7-22	1	74	74.0	1	0
Jordan Reed	WAS	vs CLE	W  31-20	9	73	8.1	2	0
Chris Conley	KC	@ PIT	L  14-43	6	70	11.7	0	0
Brian Quick	LA	@ ARI	W  17-13	2	69	34.5	2	0
Cameron Brate	TB	vs DEN	L  7-27	5	67	13.4	0	0
Cole Beasley	DAL	@ SF	W  24-17	3	66	22.0	0	0
Antonio Brown	PIT	vs KC	W  43-14	4	64	16.0	2	0
Phillip Dorsett	IND	@ JAX	L  27-30	1	64	64.0	1	0
Larry Fitzgerald	ARI	vs LA	L  13-17	5	62	12.4	0	0
Hunter Henry	SD	vs NO	L  34-35	4	61	15.2	1	0
Jarvis Landry	MIA	@ CIN	L  7-22	7	61	8.7	0	0
Quincy Enunwa	NYJ	vs SEA	L  17-27	6	60	10.0	0	0
Mike Evans	TB	vs DEN	L  7-27	5	59	11.8	0	0
Gary Barnidge	CLE	@ WAS	L  20-31	7	57	8.1	0	0
Devin Funchess	CAR	@ ATL	L  33-48	2	56	28.0	0	0
Kyle Juszczyk	BAL	vs OAK	L  27-28	6	56	9.3	0	0
Allen Robinson	JAX	vs IND	W  30-27	5	55	11.0	1	0
Kevin White	CHI	vs DET	W  17-14	6	55	9.2	0	0
Doug Baldwin	SEA	@ NYJ	W  27-17	4	54	13.5	0	0
Ryan Griffin	HOU	vs TEN	W  27-20	3	54	18.0	0	0
Bilal Powell	NYJ	vs SEA	L  17-27	6	54	9.0	0	0
Lance Kendricks	LA	@ ARI	W  17-13	5	52	10.4	0	0
Albert Wilson	KC	@ PIT	L  14-43	5	52	10.4	0	0
James White	NE	vs BUF	L  0-16	5	50	10.0	0	0
Taylor Gabriel	ATL	vs CAR	W  48-33	3	49	16.3	0	0
Todd Gurley	LA	@ ARI	W  17-13	5	49	9.8	0	0
