Name	Team	Opp	Score	Rec	Yds	Avg	TD	FUM
T.Y. Hilton	IND	vs CHI	W  29-23	10	171	17.1	1	0
Sammie Coates	PIT	vs NYJ	W  31-13	6	139	23.2	2	0
Amari Cooper	OAK	vs SD	W  34-31	6	138	23.0	1	0
Tevin Coleman	ATL	@ DEN	W  23-16	4	132	33.0	1	0
Cameron Meredith	CHI	@ IND	L  23-29	9	130	14.4	1	1
Adam Thielen	MIN	vs HOU	W  31-13	7	127	18.1	1	0
Travis Benjamin	SD	@ OAK	L  31-34	7	117	16.7	0	0
Tyrell Williams	SD	@ OAK	L  31-34	5	117	23.4	1	0
Chris Hogan	NE	@ CLE	W  33-13	4	114	28.5	0	0
Brandon Marshall	NYJ	@ PIT	L  13-31	8	114	14.2	1	0
Rob Gronkowski	NE	@ CLE	W  33-13	5	109	21.8	0	0
Randall Cobb	GB	vs NYG	W  23-16	9	108	12.0	0	0
Jeremy Kerley	SF	vs ARI	L  21-33	8	102	12.8	1	0
Le'Veon Bell	PIT	vs NYJ	W  31-13	9	88	9.8	0	0
Davante Adams	GB	vs NYG	W  23-16	5	85	17.0	1	0
Larry Fitzgerald	ARI	@ SF	W  33-21	6	81	13.5	2	0
Emmanuel Sanders	DEN	vs ATL	L  16-23	7	80	11.4	0	0
Antonio Brown	PIT	vs NYJ	W  31-13	9	78	8.7	1	0
Alshon Jeffery	CHI	@ IND	L  23-29	5	77	15.4	0	0
Gary Barnidge	CLE	vs NE	L  13-33	5	76	15.2	0	0
Kenny Britt	LA	vs BUF	L  19-30	5	75	15.0	0	0
Hunter Henry	SD	@ OAK	L  31-34	3	74	24.7	1	0
Charles Clay	BUF	@ LA	W  30-19	5	73	14.6	0	0
Zach Miller	CHI	@ IND	L  23-29	7	73	10.4	0	0
DeVante Parker	MIA	vs TEN	L  17-30	2	70	35.0	0	0
Terrance Williams	DAL	vs CIN	W  28-14	5	70	14.0	0	0
Brandon LaFell	CIN	@ DAL	L  14-28	8	68	8.5	2	0
Martellus Bennett	NE	@ CLE	W  33-13	6	67	11.2	3	0
Damien Williams	MIA	vs TEN	L  17-30	2	67	33.5	0	0
Jalen Richard	OAK	vs SD	W  34-31	6	66	11.0	0	0
Delanie Walker	TEN	@ MIA	W  30-17	5	66	13.2	1	0
Jordan Matthews	PHI	@ DET	L  23-24	4	65	16.2	0	0
Mike Wallace	BAL	vs WAS	L  10-16	7	63	9.0	0	0
James White	NE	@ CLE	W  33-13	4	63	15.8	0	0
C.J. Fiedorowicz	HOU	@ MIN	L  13-31	4	61	15.2	0	0
Tavon Austin	LA	vs BUF	L  19-30	7	59	8.4	0	0
Dennis Pitta	BAL	vs WAS	L  10-16	7	59	8.4	0	0
Odell Beckham	NYG	@ GB	L  16-23	5	56	11.2	1	0
Pierre Garcon	WAS	@ BAL	W  16-10	5	56	11.2	1	0
Andrew Hawkins	CLE	vs NE	L  13-33	4	56	14.0	1	0
