Name	Team	Opp	Score	Rec	Yds	Avg	TD	FUM
A.J. Green	CIN	@ NYJ	W  23-22	12	180	15.0	1	0
Willie Snead	NO	vs OAK	L  34-35	9	172	19.1	1	0
Brandin Cooks	NO	vs OAK	L  34-35	6	143	23.8	2	0
Amari Cooper	OAK	@ NO	W  35-34	6	137	22.8	0	0
Spencer Ware	KC	vs SD	W  33-27	7	129	18.4	0	0
Antonio Brown	PIT	@ WAS	W  38-16	8	126	15.8	2	0
Jordan Matthews	PHI	vs CLE	W  29-10	7	114	16.3	1	0
Will Fuller	HOU	vs CHI	W  23-14	5	107	21.4	1	0
Alshon Jeffery	CHI	@ HOU	L  14-23	4	105	26.2	0	0
Stefon Diggs	MIN	@ TEN	W  25-16	7	103	14.7	0	0
DeSean Jackson	WAS	vs PIT	L  16-38	6	102	17.0	0	0
Mike Evans	TB	@ ATL	W  31-24	5	99	19.8	1	0
Tevin Coleman	ATL	vs TB	L  24-31	5	95	19.0	0	0
Phillip Dorsett	IND	vs DET	L  35-39	4	94	23.5	0	0
Doug Baldwin	SEA	vs MIA	W  12-10	9	92	10.2	1	0
Kelvin Benjamin	CAR	@ DEN	L  20-21	6	91	15.2	1	0
Brandon LaFell	CIN	@ NYJ	W  23-22	4	91	22.8	0	0
Mike Wallace	BAL	vs BUF	W  13-7	3	91	30.3	1	0
Michael Crabtree	OAK	@ NO	W  35-34	7	87	12.4	0	0
Marvin Jones	DET	@ IND	W  39-35	4	85	21.2	0	0
Larry Fitzgerald	ARI	vs NE	L  21-23	8	81	10.1	2	0
Mohamed Sanu	ATL	vs TB	L  24-31	5	80	16.0	1	0
T.Y. Hilton	IND	vs DET	L  35-39	6	79	13.2	0	0
Tajae Sharpe	TEN	vs MIN	L  16-25	7	76	10.9	0	0
Allen Hurns	JAX	vs GB	L  23-27	4	75	18.8	0	0
Travis Kelce	KC	vs SD	W  33-27	6	74	12.3	0	0
Odell Beckham	NYG	@ DAL	W  20-19	4	73	18.2	0	0
Greg Olsen	CAR	@ DEN	L  20-21	7	73	10.4	0	0
Allen Robinson	JAX	vs GB	L  23-27	6	72	12.0	0	0
Tyrell Williams	SD	@ KC	L  27-33	2	71	35.5	0	0
Corey Coleman	CLE	@ PHI	L  10-29	2	69	34.5	0	0
Terrelle Pryor	CLE	@ PHI	L  10-29	3	68	22.7	0	0
Kenny Britt	LA	@ SF	L  0-28	4	67	16.8	0	0
Julian Edelman	NE	@ ARI	W  23-21	7	66	9.4	0	0
Julio Jones	ATL	vs TB	L  24-31	4	66	16.5	1	0
Jason Witten	DAL	vs NYG	L  19-20	9	66	7.3	0	0
Cole Beasley	DAL	vs NYG	L  19-20	8	65	8.1	0	0
Kyle Rudolph	MIN	@ TEN	W  25-16	4	65	16.2	0	0
Donte Moncrief	IND	vs DET	L  35-39	6	64	10.7	1	0
Jordan Reed	WAS	vs PIT	L  16-38	7	64	9.1	0	0
Julius Thomas	JAX	vs GB	L  23-27	5	64	12.8	1	0
Keenan Allen	SD	@ KC	L  27-33	6	63	10.5	0	0
Jeremy Maclin	KC	vs SD	W  33-27	5	63	12.6	1	0
Theo Riddick	DET	@ IND	W  39-35	5	63	12.6	1	0
Arian Foster	MIA	@ SEA	L  10-12	3	62	20.7	0	0
Michael Floyd	ARI	vs NE	L  21-23	3	61	20.3	0	0
Jeremy Kerley	SF	vs LA	W  28-0	7	61	8.7	0	0
Chris Hogan	NE	@ ARI	W  23-21	3	60	20.0	1	0
Quinton Patton	SF	vs LA	W  28-0	5	60	12.0	0	0
Matt Forte	NYJ	vs CIN	L  22-23	5	59	11.8	0	0
Jarvis Landry	MIA	@ SEA	L  10-12	7	59	8.4	0	0
Eli Rogers	PIT	@ WAS	W  38-16	6	59	9.8	1	0
C.J. Uzomah	CIN	@ NYJ	W  23-22	2	59	29.5	0	0
Jamison Crowder	WAS	vs PIT	L  16-38	6	58	9.7	0	0
Zach Ertz	PHI	vs CLE	W  29-10	6	58	9.7	0	0
Michael Thomas	NO	vs OAK	L  34-35	6	58	9.7	0	0
Ameer Abdullah	DET	@ IND	W  39-35	5	57	11.4	1	0
Nelson Agholor	PHI	vs CLE	W  29-10	4	57	14.2	1	0
Randall Cobb	GB	@ JAX	W  27-23	6	57	9.5	0	0
Jermaine Kearse	SEA	vs MIA	W  12-10	5	57	11.4	0	0
Eddie Royal	CHI	@ HOU	L  14-23	4	57	14.2	1	0
Sammie Coates	PIT	@ WAS	W  38-16	2	56	28.0	0	0
Quincy Enunwa	NYJ	vs CIN	L  22-23	7	54	7.7	1	0
DeAndre Hopkins	HOU	vs CHI	W  23-14	5	54	10.8	1	0
Adam Thielen	MIN	@ TEN	W  25-16	4	54	13.5	0	0
Dwayne Allen	IND	vs DET	L  35-39	4	53	13.2	1	0
Pierre Garcon	WAS	vs PIT	L  16-38	6	51	8.5	0	0
Jacob Tamme	ATL	vs TB	L  24-31	6	51	8.5	0	0
Davante Adams	GB	@ JAX	W  27-23	3	50	16.7	1	0
Emmanuel Sanders	DEN	vs CAR	W  21-20	5	49	9.8	0	0
Danny Amendola	NE	@ ARI	W  23-21	3	48	16.0	0	0
Marcedes Lewis	JAX	vs GB	L  23-27	2	48	24.0	0	0
Demaryius Thomas	DEN	vs CAR	W  21-20	4	48	12.0	0	0
C.J. Anderson	DEN	vs CAR	W  21-20	4	47	11.8	1	0
Eric Ebron	DET	@ IND	W  39-35	5	46	9.2	1	0
Chris Conley	KC	vs SD	W  33-27	4	43	10.8	0	0
David Johnson	ARI	vs NE	L  21-23	4	43	10.8	0	0
Sterling Shepard	NYG	@ DAL	W  20-19	3	43	14.3	1	0
Sammy Watkins	BUF	@ BAL	L  7-13	4	43	10.8	0	0
Delanie Walker	TEN	vs MIN	L  16-25	3	42	14.0	0	0
Jermaine Gresham	ARI	vs NE	L  21-23	4	41	10.2	0	0
Derrick Henry	TEN	vs MIN	L  16-25	2	41	20.5	0	0
Golden Tate	DET	@ IND	W  39-35	7	41	5.9	0	0
Charles Clay	BUF	@ BAL	L  7-13	2	40	20.0	0	0
James White	NE	@ ARI	W  23-21	5	40	8.0	0	0
Dennis Pitta	BAL	vs BUF	W  13-7	3	39	13.0	0	0
Eric Decker	NYJ	vs CIN	L  22-23	2	37	18.5	1	0
Anquan Boldin	DET	@ IND	W  39-35	3	35	11.7	0	0
