Name	Team	Opp	Score	Att	Yds	Avg	TD	FUM
David Johnson	ARI	@ SF	W  33-21	27	157	5.8	2	0
LeSean McCoy	BUF	@ LA	W  30-19	18	150	8.3	0	0
Ezekiel Elliott	DAL	vs CIN	W  28-14	15	134	8.9	2	0
DeMarco Murray	TEN	@ MIA	W  30-17	27	121	4.5	0	0
Jordan Howard	CHI	@ IND	L  23-29	16	118	7.4	0	0
Terrance West	BAL	vs WAS	L  10-16	11	95	8.6	0	0
Devonta Freeman	ATL	@ DEN	W  23-16	23	88	3.8	1	0
Eddie Lacy	GB	vs NYG	W  23-16	11	81	7.4	0	0
Carlos Hyde	SF	vs ARI	L  21-33	22	78	3.5	1	0
Frank Gore	IND	vs CHI	W  29-23	14	75	5.4	0	0
Todd Gurley	LA	vs BUF	L  19-30	23	72	3.1	1	1
Blaine Gabbert	SF	vs ARI	L  21-33	10	70	7.0	1	0
Melvin Gordon	SD	@ OAK	L  31-34	16	69	4.3	0	1
Le'Veon Bell	PIT	vs NYJ	W  31-13	20	66	3.3	0	0
Marcus Mariota	TEN	@ MIA	W  30-17	7	60	8.6	1	0
Matt Asiata	MIN	vs HOU	W  31-13	14	55	3.9	1	0
Derrick Henry	TEN	@ MIA	W  30-17	7	54	7.7	0	0
Matt Forte	NYJ	@ PIT	L  13-31	12	53	4.4	0	0
Giovani Bernard	CIN	@ DAL	L  14-28	9	50	5.6	0	0
Theo Riddick	DET	vs PHI	W  24-23	11	49	4.5	0	0
Darren Sproles	PHI	@ DET	L  23-24	5	45	9.0	0	0
Jay Ajayi	MIA	vs TEN	L  17-30	13	42	3.2	1	0
Ryan Mathews	PHI	@ DET	L  23-24	11	42	3.8	0	1
C.J. Anderson	DEN	vs ATL	L  16-23	11	41	3.7	0	0
Alfred Blue	HOU	@ MIN	L  13-31	6	39	6.5	0	0
LeGarrette Blount	NE	@ CLE	W  33-13	18	37	2.1	1	0
Jerick McKinnon	MIN	vs HOU	W  31-13	20	36	1.8	0	0
Andy Dalton	CIN	@ DAL	L  14-28	6	34	5.7	0	0
Alfred Morris	DAL	vs CIN	W  28-14	6	33	5.5	0	0
James Starks	GB	vs NYG	W  23-16	12	33	2.8	0	0
Tevin Coleman	ATL	@ DEN	W  23-16	6	31	5.2	0	0
Matt Jones	WAS	@ BAL	W  16-10	14	31	2.2	0	1
Jalen Richard	OAK	vs SD	W  34-31	8	31	3.9	0	0
Tyrod Taylor	BUF	@ LA	W  30-19	5	28	5.6	0	0
