"","TeamID","Name","Week","Team.x","Oppt.x","Opp","Score","PlayerCompletions","PlayerPassingAttempts","PlayerPassingYds","PlayerPassingTDs","PlayerInterceptions","PlayerSacked","FUM.x","PlayerPassRating","PlayerRushingAttempts","PlayerRushingYds","Avg.x","PlayerRushingTDs","FUM.y","PlayerReceptions","PlayerReceivingYds","Avg.y","PlayerReceivingTDs","FUM.x","FG.Made","FG.Att","XP.Made","XP.Att","Pts","Year","GID","Pos","Team.y","h.a","Oppt.y","FD.points","FD.salary","TeamID.y","Team","RunDRk","RushingGamesPlayed","RusingPointsperGameGAllowed","TotalRushingPointsAllowed","TotalRushAttemptsAgainst","RushAttemptsAgainstPerGame","RushYdsAllowed","AverageYardsPerCarryAllowed","RushingYardsPerGameAllowed","RushingTDAllowed","LongestRunAllowed","FirstDownsAllowed","FirstDownPercentageAllowed","20yardsRunOrLongerAllowed","40yardsRunOrLongerAllowed","FumblesCaused","PassDRk","PassingGamesPlayed","PassingPointsperGameGAllowed","TotalPassingPointsAllowed","CompletionsAllowed","TotalPassAttemptsAgainst","CompletionPercentageAllowed","PassAttemptsAgainstPerGame","PassingYdsAllowed","AverageYardsPerPassAllowed","PassingYardsPerGameAllowed","PassingTDAllowed","Interceptions","PassingFirstDownsAllowed","PassingFirstDownPercentageAllowed","LongestPassAllowed","20yardsPassOrLongerAllowed","40yardsPassOrLongerAllowed","Sacs","PassDefenseRating","TotalDRk","G","Pts.G","TotPts","Scrm.Plys","Yds.G","Yds.P","X1st.G","X3rd.Md","X3rd.Att","X3rd.Pct","X4th.Md","X4th.Att","X4th.Pct","Pen","Pen.Yds","ToP.G","FUM.y","Lost"
"1",7,"Anderson, C.J.",3,"den","cin","@ CIN","W  29-17",0,0,0,0,0,0,0,0,14,37,2.6,0,0,1,4,4,0,0,0,0,0,0,0,2016,2924,"RB","DEN","t","sd","13.7399993896484","8000",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"2",7,"Booker, Devontae",3,"den","cin","@ CIN","W  29-17",0,0,0,0,0,0,0,0,4,8,2,0,0,1,17,17,0,0,0,0,0,0,0,2016,5468,"RB","DEN","t","sd","3.65999984741211","5100",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"3",7,"Fowler, Bennie",3,"den","cin","@ CIN","W  29-17",0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,13,0,0,0,0,0,0,0,2016,5353,"WR","DEN","t","sd","1.36666663487752","4600",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"4",7,"Janovich, Andy",3,"den","cin","@ CIN","W  29-17",0,0,0,0,0,0,0,0,1,2,2,0,0,1,13,13,0,0,0,0,0,0,0,2016,5482,"RB","DEN","t","sd","3.15000009536743","4500",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"5",7,"Latimer, Cody",3,"den","cin","@ CIN","W  29-17",0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,0,0,0,0,0,0,0,2016,5268,"WR","DEN","t","sd","0.925000011920929","4500",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"6",7,"McManus, Brandon",3,"den","cin","@ CIN","W  29-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,2016,6227,"K","DEN","t","sd","8.8","4700",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"7",7,"Norwood, Jordan",3,"den","cin","@ CIN","W  29-17",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,3828,"WR","DEN","t","sd","2.16000003814697","4500",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"8",7,"Phillips, John",3,"den","cin","@ CIN","W  29-17",0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,4.5,1,0,0,0,0,0,0,2016,4433,"TE","DEN","t","sd","3.95000004768372","4700",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"9",7,"Sanders, Emmanuel",3,"den","cin","@ CIN","W  29-17",0,0,0,0,0,0,0,0,0,0,0,0,0,9,117,13,2,0,0,0,0,0,0,2016,3983,"WR","DEN","t","sd","14.2600006103516","7100",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"10",7,"Thomas, Demaryius",3,"den","cin","@ CIN","W  29-17",0,0,0,0,0,0,0,0,0,0,0,0,0,6,100,16.7,1,1,0,0,0,0,0,2016,3997,"WR","DEN","t","sd","13.8199996948242","7700",27,7,19,5,22,110,131,26.2,570,4.4,114,3,22,28,21.4,1,1,2,11,5,22,110,94,156,60.3,31.2,7,7.5,224.6,11,4,53,34,21,15,5,10,96.5,11,5,22,110,297,338.6,5.7,18.2,23,60,38,0,2,0,31,303,10,7,3
"11",14,"Benjamin, Travis",3,"sd","ind","@ IND","L  22-26",0,0,0,0,0,0,0,0,0,0,0,0,0,4,82,20.5,0,1,0,0,0,0,0,2016,5173,"WR","SD","t","den","12.2599998474121","6500",10,14,18,5,29.6,148,120,24,548,4.6,109.6,5,21,29,24.2,2,1,1,28,5,29.6,148,131,187,70.1,37.4,21,8.2,301,7,1,77,41.2,3,15,3,7,104.9,30,5,29.6,148,314,410.6,6.5,23.4,19,51,37,1,2,50,47,429,11,8,4
