Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
17;2015;1378;Newton, Cam;QB;car;h;tam;32.72;9100
17;2015;1232;Roethlisberger, Ben;QB;pit;a;cle;25.76;8800
17;2015;1458;Moore, Kellen;QB;dal;h;was;25.4;6000
17;2015;1340;Stafford, Matthew;QB;det;a;chi;24.92;7700
17;2015;1410;Tannehill, Ryan;QB;mia;h;nwe;23.7;6700
17;2015;1412;Wilson, Russell;QB;sea;a;ari;21.18;8200
17;2015;1301;Ryan, Matt;QB;atl;h;nor;20.36;7600
17;2015;1344;Bradford, Sam;QB;phi;a;nyg;19.6;6700
17;2015;1415;Cousins, Kirk;QB;was;a;dal;19.04;7700
17;2015;1465;Winston, Jameis;QB;tam;a;car;18.4;7000
17;2015;1400;Taylor, Tyrod;QB;buf;h;nyj;18.38;7400
17;2015;1254;Smith, Alex;QB;kan;h;oak;18.34;7000
17;2015;1225;Manning, Eli;QB;nyg;h;phi;18.08;7500
17;2015;1381;Gabbert, Blaine;QB;sfo;h;stl;17.86;6000
17;2015;1231;Rivers, Philip;QB;sdg;a;den;16.62;7300
17;2015;1151;Brees, Drew;QB;nor;a;atl;16.42;8400
17;2015;1263;Cutler, Jay;QB;chi;h;det;15.9;6800
17;2015;1467;McCarron, A.J.;QB;cin;h;bal;14.6;6300
17;2015;1401;Mallett, Ryan;QB;bal;a;cin;14.08;6000
17;2015;1252;Rodgers, Aaron;QB;gnb;h;min;13.84;8300
17;2015;1242;Fitzpatrick, Ryan;QB;nyj;a;buf;13.44;7800
17;2015;1336;Hoyer, Brian;QB;hou;h;jac;12.96;6900
17;2015;1441;Carr, Derek;QB;oak;a;kan;11.96;7100
17;2015;1330;Freeman, Josh;QB;ind;h;ten;11.36;0
17;2015;1435;Keenum, Case;QB;stl;a;sfo;9.44;6000
17;2015;1414;Osweiler, Brock;QB;den;h;sdg;9.28;6900
17;2015;1361;McCoy, Colt;QB;was;a;dal;8.82;5000
17;2015;1207;Palmer, Carson;QB;ari;h;sea;8.16;8300
17;2015;1444;Tanney, Alex;QB;ten;a;ind;7.96;0
17;2015;1445;Davis, Austin;QB;cle;h;pit;7.8;6000
17;2015;1440;Mettenberger, Zach;QB;ten;a;ind;6.92;6000
17;2015;1416;Lindley, Ryan;QB;ind;h;ten;6.32;5000
17;2015;1442;Bortles, Blake;QB;jac;a;hou;5.56;8100
17;2015;1131;Brady, Tom;QB;nwe;a;mia;5.26;8900
17;2015;1407;Pryor, Terrelle;QB;cle;h;pit;4.7;5100
17;2015;1439;Bridgewater, Teddy;QB;min;a;gnb;3.16;6800
17;2015;1081;Manning, Peyton;QB;den;h;sdg;2.56;6500
17;2015;1290;Stanton, Drew;QB;ari;h;sea;1.36;5000
17;2015;1260;Jackson, Tarvaris;QB;sea;a;ari;0.92;5000
17;2015;1452;Garoppolo, Jimmy;QB;nwe;a;mia;0.24;5000
17;2015;1421;Manuel, E.J.;QB;buf;h;nyj;0;5000
17;2015;1241;Cassel, Matt;QB;dal;h;was;0;6000
17;2015;5071;Webb, Joe;QB;car;h;tam;0;5000
17;2015;1239;Anderson, Derek;QB;car;h;tam;-0.2;5000
17;2015;2658;Jennings, Rashad;RB;nyg;h;phi;24.6;5800
17;2015;2856;Hillman, Ronnie;RB;den;h;sdg;19.7;6000
17;2015;2881;Grimes, Jonathan;RB;hou;h;jac;19.4;4500
17;2015;2802;Harris, DuJuan;RB;sfo;h;stl;19.3;0
17;2015;2604;Hightower, Tim;RB;nor;a;atl;19.2;7000
17;2015;2613;Forte, Matt;RB;chi;h;det;18.5;7800
17;2015;2928;Hill, Jeremy;RB;cin;h;bal;18.5;6400
17;2015;2603;McFadden, Darren;RB;dal;h;was;15;7200
17;2015;2930;Freeman, Devonta;RB;atl;h;nor;14.9;8800
17;2015;2858;Martin, Doug;RB;tam;a;car;14.3;7600
17;2015;2914;Ware, Spencer;RB;kan;h;oak;13.6;5300
17;2015;2924;Anderson, C.J.;RB;den;h;sdg;13.5;5500
17;2015;2931;Sims, Charles;RB;tam;a;car;13.4;5200
17;2015;2996;Cobb, David;RB;ten;a;ind;13.3;4500
17;2015;2553;Peterson, Adrian;RB;min;a;gnb;13.3;8300
17;2015;2999;Artis-Payne, Cameron;RB;car;h;tam;13.1;5500
17;2015;2418;Jackson, Steven;RB;nwe;a;mia;12;5300
17;2015;2484;Sproles, Darren;RB;phi;a;nyg;11.9;5200
17;2015;2830;Vereen, Shane;RB;nyg;h;phi;11.4;5100
17;2015;2831;Murray, DeMarco;RB;phi;a;nyg;10.9;5900
17;2015;2960;Blue, Alfred;RB;hou;h;jac;10.9;5400
17;2015;2932;Mason, Tre;RB;stl;a;sfo;10.4;4600
17;2015;2898;Michael, Christine;RB;sea;a;ari;10.2;5100
17;2015;5372;Williams, Karlos;RB;buf;h;nyj;10.2;5800
17;2015;2689;Woodhead, Danny;RB;sdg;a;den;10.2;5700
17;2015;2705;Brown, Donald;RB;sdg;a;den;10.1;4900
17;2015;5370;Allen, Javorius;RB;bal;a;cin;10;6000
17;2015;2871;Morris, Alfred;RB;was;a;dal;10;5500
17;2015;2869;Cadet, Travaris;RB;nor;a;atl;9.3;5100
17;2015;2908;Juszczyk, Kyle;RB;bal;a;cin;8.8;4600
17;2015;2911;Cunningham, Benny;RB;stl;a;sfo;8.7;4500
17;2015;2741;Ivory, Chris;RB;nyj;a;buf;8.1;6500
17;2015;2851;Brown, Bryce;RB;sea;a;ari;8;5000
17;2015;2954;White, James;RB;nwe;a;mia;7.8;6400
17;2015;2899;Murray, Latavius;RB;oak;a;kan;7.6;6100
17;2015;2467;Gore, Frank;RB;ind;h;ten;7.6;6600
17;2015;5395;Johnson, David;RB;ari;h;sea;7.4;7700
17;2015;2986;Tukuafu, Will;RB;sea;a;ari;7.2;0
17;2015;2647;Tolbert, Mike;RB;car;h;tam;6.9;4600
17;2015;2859;Miller, Lamar;RB;mia;h;nwe;6.8;6500
17;2015;2719;Bell, Joique;RB;det;a;chi;6.8;5600
17;2015;2997;Johnson, Duke;RB;cle;h;pit;6.5;5500
17;2015;2957;Williams, Damien;RB;mia;h;nwe;6.4;4600
17;2015;2887;Barner, Kenjon;RB;phi;a;nyg;6.4;4700
17;2015;2935;McKinnon, Jerick;RB;min;a;gnb;6.3;5500
17;2015;5431;Hunt, Akeem;RB;hou;h;jac;6;4800
17;2015;5320;Davis, Mike;RB;sfo;h;stl;5.9;0
17;2015;2777;Starks, James;RB;gnb;h;min;5.7;5600
17;2015;2995;Abdullah, Ameer;RB;det;a;chi;5.6;5300
17;2015;2969;Crowell, Isaiah;RB;cle;h;pit;5.3;5600
17;2015;2889;Bernard, Giovani;RB;cin;h;bal;5.3;5500
17;2015;2907;Riddick, Theo;RB;det;a;chi;5.3;5500
17;2015;2896;Lacy, Eddie;RB;gnb;h;min;5.1;5900
17;2015;2874;Bolden, Brandon;RB;nwe;a;mia;4.6;5500
17;2015;2990;Toussaint, Fitzgerald;RB;pit;a;cle;4.4;4500
17;2015;2598;Thomas, Pierre;RB;was;a;dal;4;4500
17;2015;2829;Ridley, Stevan;RB;nyj;a;buf;3.9;4800
17;2015;2813;Helu, Roy;RB;oak;a;kan;3.8;4500
17;2015;2987;West, Charcandrick;RB;kan;h;oak;3.7;6800
17;2015;2953;Gray, Jonas;RB;jac;a;hou;3.2;4500
17;2015;2500;Williams, DeAngelo;RB;pit;a;cle;3.1;8200
17;2015;2822;Sherman, Anthony;RB;kan;h;oak;3.1;0
17;2015;2929;West, Terrance;RB;bal;a;cin;2.7;5100
17;2015;2549;Kuhn, John;RB;gnb;h;min;2.7;4500
17;2015;2934;Williams, Andre;RB;nyg;h;phi;2.6;4500
