TeamID,Name,Week,Team.x,Opp,Score,Comp.x,Att,Yds,TD,Int.x,Sck.x,FUM,Rate.x,Oppt.x,Avg,Rec,FG.Made,FG.Att,XP.Made,XP.Att,Pts,Year,GID,Pos,Team.y,h.a,Oppt.y,FD.points,FD.salary,TeamID.y,Team,Rk.x,G.x,Pts.G.x,TotPts.x,Att.x,Att.G.x,Yds.x,Avg.x,Yds.G.x,TD.x,Lng.x,X1st.x,X1st..x,X20..x,X40..x,FUM.x,Rk.y,G.y,Pts.G.y,TotPts.y,Comp.y,Att.y,Pct,Att.G.y,Yds.y,Avg.y,Yds.G.y,TD.y,Int.y,X1st.y,X1st..y,Lng.y,X20..y,X40..y,Sck.y,Rate.y,Rk,G,Pts.G,TotPts,Scrm.Plys,Yds.G,Yds.P,X1st.G,X3rd.Md,X3rd.Att,X3rd.Pct,X4th.Md,X4th.Att,X4th.Pct,Pen,Pen.Yds,ToP.G,FUM.y,Lost,Scored Labels
1,"Carpenter, Dan",3,buf,vs ARI,W  33-18,0,0,0,0,0,0,0,0,ari,0,0,2,2,3,4,9,2016,6163,K,BUF,t,ne,6,4500,20,Arizona Cardinals,28,3,21,63,84,28,399,4.8,133,4,49,23,27.4,4,1,5,6,3,21,63,65,110,59.1,36.7,567,5.7,189,2,5,30,27.3,37T,7,0,9,62.2,9,3,21,63,203,322,4.8,18.7,19,42,45,0,1,0,22,183,30:19,7,3,9.72657585144043
1,"Gillislee, Mike",3,buf,vs ARI,W  33-18,0,3,20,0,0,0,0,0,ari,6.7,0,0,0,0,0,0,2016,2894,RB,BUF,t,ne,3.46666653951009,4900,20,Arizona Cardinals,28,3,21,63,84,28,399,4.8,133,4,49,23,27.4,4,1,5,6,3,21,63,65,110,59.1,36.7,567,5.7,189,2,5,30,27.3,37T,7,0,9,62.2,9,3,21,63,203,322,4.8,18.7,19,42,45,0,1,0,22,183,30:19,7,3,2.00738668441772
1,"Goodwin, Marquise",3,buf,vs ARI,W  33-18,0,0,6,0,0,0,0,0,ari,6,1,0,0,0,0,0,2016,5205,WR,BUF,t,ne,9.64999961853027,5300,20,Arizona Cardinals,28,3,21,63,84,28,399,4.8,133,4,49,23,27.4,4,1,5,6,3,21,63,65,110,59.1,36.7,567,5.7,189,2,5,30,27.3,37T,7,0,9,62.2,9,3,21,63,203,322,4.8,18.7,19,42,45,0,1,0,22,183,30:19,7,3,1.114253282547
1,"McCoy, LeSean",3,buf,vs ARI,W  33-18,0,17,110,2,0,0,0,0,ari,6.5,0,0,0,0,0,0,2016,2707,RB,BUF,t,ne,17.033332824707,7600,20,Arizona Cardinals,28,3,21,63,84,28,399,4.8,133,4,49,23,27.4,4,1,5,6,3,21,63,65,110,59.1,36.7,567,5.7,189,2,5,30,27.3,37T,7,0,9,62.2,9,3,21,63,203,322,4.8,18.7,19,42,45,0,1,0,22,183,30:19,7,3,20.8226089477539
1,"McCoy, LeSean",3,buf,vs ARI,W  33-18,0,0,6,0,0,0,0,0,ari,2,3,0,0,0,0,0,2016,2707,RB,BUF,t,ne,17.033332824707,7600,20,Arizona Cardinals,28,3,21,63,84,28,399,4.8,133,4,49,23,27.4,4,1,5,6,3,21,63,65,110,59.1,36.7,567,5.7,189,2,5,30,27.3,37T,7,0,9,62.2,9,3,21,63,203,322,4.8,18.7,19,42,45,0,1,0,22,183,30:19,7,3,18.9526519775391
1,"O'Leary, Nick",3,buf,vs ARI,W  33-18,0,0,28,0,0,0,0,0,ari,28,1,0,0,0,0,0,2016,4661,TE,BUF,t,ne,1.64999997615814,4500,20,Arizona Cardinals,28,3,21,63,84,28,399,4.8,133,4,49,23,27.4,4,1,5,6,3,21,63,65,110,59.1,36.7,567,5.7,189,2,5,30,27.3,37T,7,0,9,62.2,9,3,21,63,203,322,4.8,18.7,19,42,45,0,1,0,22,183,30:19,7,3,2.66370868682861
1,"Taylor, Tyrod",3,buf,vs ARI,W  33-18,14,25,119,0,1,4,0,51.9,ari,0,0,0,0,0,0,0,2016,1400,QB,BUF,t,ne,16.0933329264323,7600,20,Arizona Cardinals,28,3,21,63,84,28,399,4.8,133,4,49,23,27.4,4,1,5,6,3,21,63,65,110,59.1,36.7,567,5.7,189,2,5,30,27.3,37T,7,0,9,62.2,9,3,21,63,203,322,4.8,18.7,19,42,45,0,1,0,22,183,30:19,7,3,12.1000204086304
1,"Taylor, Tyrod",3,buf,vs ARI,W  33-18,0,9,76,1,0,0,0,0,ari,8.4,0,0,0,0,0,0,2016,1400,QB,BUF,t,ne,16.0933329264323,7600,20,Arizona Cardinals,28,3,21,63,84,28,399,4.8,133,4,49,23,27.4,4,1,5,6,3,21,63,65,110,59.1,36.7,567,5.7,189,2,5,30,27.3,37T,7,0,9,62.2,9,3,21,63,203,322,4.8,18.7,19,42,45,0,1,0,22,183,30:19,7,3,18.3213596343994
1,"Woods, Robert",3,buf,vs ARI,W  33-18,0,0,51,0,0,0,0,0,ari,8.5,6,0,0,0,0,0,2016,5217,WR,BUF,t,ne,4.53333346048991,5400,20,Arizona Cardinals,28,3,21,63,84,28,399,4.8,133,4,49,23,27.4,4,1,5,6,3,21,63,65,110,59.1,36.7,567,5.7,189,2,5,30,27.3,37T,7,0,9,62.2,9,3,21,63,203,322,4.8,18.7,19,42,45,0,1,0,22,183,30:19,7,3,9.0758581161499
4,"Brown, Jaron",3,ari,@ BUF,L  18-33,0,0,49,0,0,0,0,0,buf,16.3,3,0,0,0,0,0,2016,5229,WR,ARI,t,la,7.83333333333333,4700,17,Buffalo Bills,14,3,22.7,68,86,28.7,294,3.4,98,5,22T,16,18.6,1,0,2,22,3,22.7,68,72,117,61.5,39,855,7.9,285,2,4,46,39.3,66T,13,1,10,77.5,23,3,22.7,68,213,383,5.4,23.7,19,43,44,0,2,0,21,135,35:22,6,3,5.253502368927
