TeamID,Name,Week,Team.x,Opp,Score,Comp.x,Att,Yds,TD,Int.x,Sck.x,FUM,Rate.x,Oppt.x,Avg,Rec,FG.Made,FG.Att,XP.Made,XP.Att,Pts,Year,GID,Pos,Team.y,h.a,Oppt.y,FD.points,FD.salary,TeamID.y,Team,Rk.x,G.x,Pts.G.x,TotPts.x,Att.x,Att.G.x,Yds.x,Avg.x,Yds.G.x,TD.x,Lng.x,X1st.x,X1st..x,X20..x,X40..x,FUM.x,Rk.y,G.y,Pts.G.y,TotPts.y,Comp.y,Att.y,Pct,Att.G.y,Yds.y,Avg.y,Yds.G.y,TD.y,Int.y,X1st.y,X1st..y,Lng.y,X20..y,X40..y,Sck.y,Rate.y,Rk,G,Pts.G,TotPts,Scrm.Plys,Yds.G,Yds.P,X1st.G,X3rd.Md,X3rd.Att,X3rd.Pct,X4th.Md,X4th.Att,X4th.Pct,Pen,Pen.Yds,ToP.G,FUM.y,Lost,Scored Labels
24,"Douglas, Harry",3,ten,vs OAK,L  10-17,0,0,20,0,0,0,0,0,oak,10,2,0,0,0,0,0,2016,3731,WR,TEN,t,hou,3.04999995231628,4500,13,Oakland Raiders,29,3,26.3,79,80,26.7,408,5.1,136,2,36,25,31.3,1,0,2,32,3,26.3,79,71,109,65.1,36.3,1020,9.5,340,7,3,43,39.4,98T,16,5,3,105.8,32,3,26.3,79,192,476,7.4,24.3,11,33,33,1,2,50,22,195,29:16,4,2,2.88478517532349
24,"Fowler, Jalston",3,ten,vs OAK,L  10-17,0,0,14,0,0,0,0,0,oak,14,1,0,0,0,0,0,2016,5413,RB,TEN,t,hou,1.89999997615814,4500,13,Oakland Raiders,29,3,26.3,79,80,26.7,408,5.1,136,2,36,25,31.3,1,0,2,32,3,26.3,79,71,109,65.1,36.3,1020,9.5,340,7,3,43,39.4,98T,16,5,3,105.8,32,3,26.3,79,192,476,7.4,24.3,11,33,33,1,2,50,22,195,29:16,4,2,2.39765548706055
24,"Henry, Derrick",3,ten,vs OAK,L  10-17,0,10,45,0,0,0,0,0,oak,4.5,0,0,0,0,0,0,2016,5445,RB,TEN,t,hou,5.10000006357829,5000,13,Oakland Raiders,29,3,26.3,79,80,26.7,408,5.1,136,2,36,25,31.3,1,0,2,32,3,26.3,79,71,109,65.1,36.3,1020,9.5,340,7,3,43,39.4,98T,16,5,3,105.8,32,3,26.3,79,192,476,7.4,24.3,11,33,33,1,2,50,22,195,29:16,4,2,5.42930889129639
24,"Johnson, Andre",3,ten,vs OAK,L  10-17,0,0,0,0,0,0,0,0,oak,0,0,0,0,0,0,0,2016,3437,WR,TEN,t,hou,3.96666653951009,5100,13,Oakland Raiders,29,3,26.3,79,80,26.7,408,5.1,136,2,36,25,31.3,1,0,2,32,3,26.3,79,71,109,65.1,36.3,1020,9.5,340,7,3,43,39.4,98T,16,5,3,105.8,32,3,26.3,79,192,476,7.4,24.3,11,33,33,1,2,50,22,195,29:16,4,2,-0.568146646022797
24,"Mariota, Marcus",3,ten,vs OAK,L  10-17,17,33,214,0,2,1,1,46.8,oak,0,0,0,0,0,0,0,2016,1466,QB,TEN,t,hou,14.0399996439616,7400,13,Oakland Raiders,29,3,26.3,79,80,26.7,408,5.1,136,2,36,25,31.3,1,0,2,32,3,26.3,79,71,109,65.1,36.3,1020,9.5,340,7,3,43,39.4,98T,16,5,3,105.8,32,3,26.3,79,192,476,7.4,24.3,11,33,33,1,2,50,22,195,29:16,4,2,6.41543531417847
24,"Mariota, Marcus",3,ten,vs OAK,L  10-17,0,3,22,0,0,0,1,0,oak,7.3,0,0,0,0,0,0,2016,1466,QB,TEN,t,hou,14.0399996439616,7400,13,Oakland Raiders,29,3,26.3,79,80,26.7,408,5.1,136,2,36,25,31.3,1,0,2,32,3,26.3,79,71,109,65.1,36.3,1020,9.5,340,7,3,43,39.4,98T,16,5,3,105.8,32,3,26.3,79,192,476,7.4,24.3,11,33,33,1,2,50,22,195,29:16,4,2,8.25626277923584
24,"Matthews, Rishard",3,ten,vs OAK,L  10-17,0,0,32,0,0,0,0,0,oak,10.7,3,0,0,0,0,0,2016,5182,WR,TEN,t,hou,4.93333339691162,5000,13,Oakland Raiders,29,3,26.3,79,80,26.7,408,5.1,136,2,36,25,31.3,1,0,2,32,3,26.3,79,71,109,65.1,36.3,1020,9.5,340,7,3,43,39.4,98T,16,5,3,105.8,32,3,26.3,79,192,476,7.4,24.3,11,33,33,1,2,50,22,195,29:16,4,2,5.00491333007813
24,"Murray, DeMarco",3,ten,vs OAK,L  10-17,0,16,114,1,0,0,0,0,oak,7.1,0,0,0,0,0,0,2016,2831,RB,TEN,t,hou,20.7333335876465,7300,13,Oakland Raiders,29,3,26.3,79,80,26.7,408,5.1,136,2,36,25,31.3,1,0,2,32,3,26.3,79,71,109,65.1,36.3,1020,9.5,340,7,3,43,39.4,98T,16,5,3,105.8,32,3,26.3,79,192,476,7.4,24.3,11,33,33,1,2,50,22,195,29:16,4,2,21.6694297790527
24,"Murray, DeMarco",3,ten,vs OAK,L  10-17,0,0,41,0,0,0,0,0,oak,8.2,5,0,0,0,0,0,2016,2831,RB,TEN,t,hou,20.7333335876465,7300,13,Oakland Raiders,29,3,26.3,79,80,26.7,408,5.1,136,2,36,25,31.3,1,0,2,32,3,26.3,79,71,109,65.1,36.3,1020,9.5,340,7,3,43,39.4,98T,16,5,3,105.8,32,3,26.3,79,192,476,7.4,24.3,11,33,33,1,2,50,22,195,29:16,4,2,19.3924217224121
24,"Sharpe, Tajae",3,ten,vs OAK,L  10-17,0,0,48,0,0,0,0,0,oak,16,3,0,0,0,0,0,2016,5461,WR,TEN,t,hou,7.56666692097982,5600,13,Oakland Raiders,29,3,26.3,79,80,26.7,408,5.1,136,2,36,25,31.3,1,0,2,32,3,26.3,79,71,109,65.1,36.3,1020,9.5,340,7,3,43,39.4,98T,16,5,3,105.8,32,3,26.3,79,192,476,7.4,24.3,11,33,33,1,2,50,22,195,29:16,4,2,5.2451114654541
