"","TeamID","Name","Team.x","Opp","Score","Sacks","Sack.Yds","QB.Hits","Tackles","Assists","Fumbles.Forced","Fumbles.Recovered","Team.y","Rk.x","G.x","Pts.G.x","TotPts.x","Att.x","Att.G.x","Yds.x","Avg.x","Yds.G.x","TD.x","Lng.x","X1st.x","X1st..x","X20..x","X40..x","FUM.x","Rk.y","G.y","Pts.G.y","TotPts.y","Comp","Att.y","Pct","Att.G.y","Yds.y","Avg.y","Yds.G.y","TD.y","Int","X1st.y","X1st..y","Lng.y","X20..y","X40..y","Sck","Rate","k","G","Pts.G","TotPts","Scrm.Plys","Yds.G","Yds.P","X1st.G","X3rd.Md","X3rd.Att","X3rd.Pct","X4th.Md","X4th.Att","X4th.Pct","Pen","Pen.Yds","ToP.G","FUM.y","Lost","Year","Rk"
"12",1,"Tony Jefferson","ari","@ BUF","L  18-33",1,7,1,6,3,1,0,"Arizona Cardinals",11,2,15,30,52,26,"191",3.7,95.5,1,"24",12,23.1,1,0,2,15,2,15,30,51,85,60,42.5,"478",6,239,2,4,25,29.4,"37T",5,0,5,65.2,NA,2,"15",30,"142",334.5,4.7,20,15,29,52,0,1,0,13,"108","32:28",4,3,NA,13
"13",1,"Chandler Jones","ari","@ BUF","L  18-33",1,2,1,3,0,0,0,"Arizona Cardinals",6,16,19.6,313,373,23.3,"1,460",3.9,91.2,9,"52",79,21.2,12,2,12,8,16,19.6,313,343,573,59.9,35.8,"3,687",6.9,230.4,24,19,177,30.9,"88T",56,14,36,80.9,5,16,"19,6",313,"982",321.7,5.2,17.8,75,210,36,8,17,47,130,"1,202","27:56",31,14,2016,NA
"14",1,"Chandler Jones","ari","@ BUF","L  18-33",1,2,1,3,0,0,0,"Arizona Cardinals",11,2,15,30,52,26,"191",3.7,95.5,1,"24",12,23.1,1,0,2,15,2,15,30,51,85,60,42.5,"478",6,239,2,4,25,29.4,"37T",5,0,5,65.2,NA,2,"15",30,"142",334.5,4.7,20,15,29,52,0,1,0,13,"108","32:28",4,3,NA,13
"15",1,"Kevin Minter","ari","@ BUF","L  18-33",1,13,1,4,0,0,0,"Arizona Cardinals",6,16,19.6,313,373,23.3,"1,460",3.9,91.2,9,"52",79,21.2,12,2,12,8,16,19.6,313,343,573,59.9,35.8,"3,687",6.9,230.4,24,19,177,30.9,"88T",56,14,36,80.9,5,16,"19,6",313,"982",321.7,5.2,17.8,75,210,36,8,17,47,130,"1,202","27:56",31,14,2016,NA
"16",1,"Kevin Minter","ari","@ BUF","L  18-33",1,13,1,4,0,0,0,"Arizona Cardinals",11,2,15,30,52,26,"191",3.7,95.5,1,"24",12,23.1,1,0,2,15,2,15,30,51,85,60,42.5,"478",6,239,2,4,25,29.4,"37T",5,0,5,65.2,NA,2,"15",30,"142",334.5,4.7,20,15,29,52,0,1,0,13,"108","32:28",4,3,NA,13
"17",2,"Robert Alford","atl","vs TB","L  24-31",0,0,0,2,3,0,0,"Atlanta Falcons",14,16,21.6,345,416,26,"1,680",4,105,20,"44",107,25.7,12,1,7,18,16,21.6,345,370,561,66,35.1,"3,882",7.1,242.6,19,15,197,35.1,"74T",50,5,19,86.9,16,16,"21,6",345,"996",347.6,5.6,20.9,82,191,43,5,15,33,95,"728","28:25",15,8,2016,NA
"18",2,"Robert Alford","atl","vs TB","L  24-31",0,0,0,2,3,0,0,"Atlanta Falcons",26,2,29.5,59,53,26.5,"245",4.6,122.5,1,"26",13,24.5,1,0,0,22,2,29.5,59,57,77,74,38.5,"580",7.5,290,7,1,29,37.7,"45T",7,1,1,120,NA,2,"29.5",59,"131",412.5,6.3,24.5,8,21,38,1,2,50,15,"106","30:11",1,0,NA,29
"19",2,"Ricardo Allen","atl","vs TB","L  24-31",0,0,0,5,2,0,0,"Atlanta Falcons",14,16,21.6,345,416,26,"1,680",4,105,20,"44",107,25.7,12,1,7,18,16,21.6,345,370,561,66,35.1,"3,882",7.1,242.6,19,15,197,35.1,"74T",50,5,19,86.9,16,16,"21,6",345,"996",347.6,5.6,20.9,82,191,43,5,15,33,95,"728","28:25",15,8,2016,NA
"20",2,"Ricardo Allen","atl","vs TB","L  24-31",0,0,0,5,2,0,0,"Atlanta Falcons",26,2,29.5,59,53,26.5,"245",4.6,122.5,1,"26",13,24.5,1,0,0,22,2,29.5,59,57,77,74,38.5,"580",7.5,290,7,1,29,37.7,"45T",7,1,1,120,NA,2,"29.5",59,"131",412.5,6.3,24.5,8,21,38,1,2,50,15,"106","30:11",1,0,NA,29
"21",2,"Jonathan Babineaux","atl","vs TB","L  24-31",0,0,0,2,0,0,0,"Atlanta Falcons",14,16,21.6,345,416,26,"1,680",4,105,20,"44",107,25.7,12,1,7,18,16,21.6,345,370,561,66,35.1,"3,882",7.1,242.6,19,15,197,35.1,"74T",50,5,19,86.9,16,16,"21,6",345,"996",347.6,5.6,20.9,82,191,43,5,15,33,95,"728","28:25",15,8,2016,NA
