"","TeamID","Week","Year.x","GID","Name","Pos","Team.x","h.a","Oppt","FD.points","FD.salary","Team.y","Rk.x","G.x","Pts.G.x","TotPts.x","Att.x","Att.G.x","Yds.x","Avg.x","Yds.G.x","TD.x","Lng.x","X1st.x","X1st..x","X20..x","X40..x","FUM.x","Rk.y","G.y","Pts.G.y","TotPts.y","Comp","Att.y","Pct","Att.G.y","Yds.y","Avg.y","Yds.G.y","TD.y","Int","X1st.y","X1st..y","Lng.y","X20..y","X40..y","Sck","Rate","k","G","Pts.G","TotPts","Scrm.Plys","Yds.G","Yds.P","X1st.G","X3rd.Md","X3rd.Att","X3rd.Pct","X4th.Md","X4th.Att","X4th.Pct","Pen","Pen.Yds","ToP.G","FUM.y","Lost","Year.y","Rk"
"48",14,3,2016,2953,"Gray, Jonas","RB","JAC","t","ind","4.10000010899135","4500","Indianapolis Colts",13,3,31.7,95,72,24,"287",4,95.7,4,"21T",15,20.8,1,0,0,27,3,31.7,95,79,111,71.2,37,"913",8.4,304.3,3,1,49,44.1,"44",10,2,4,101.6,NA,3,"31.7",95,"187",400,6.4,23,14,31,45,0,0,0,26,"204","29:31",4,3,NA,24
"49",14,3,2016,5405,"Grant, Corey","RB","JAC","t","ind","2.66666666666667","4500","Indianapolis Colts",25,16,25.5,408,452,28.2,"1,952",4.3,122,14,"56",89,19.7,16,3,10,24,16,25.5,408,354,585,60.5,36.6,"4,114",7.5,257.1,29,17,210,35.9,"80T",64,12,35,88,26,16,"25,5",408,"1,072",379.1,5.7,20.7,89,227,39,10,14,71,133,"1,168","31:06",20,8,2016,NA
"50",14,3,2016,5405,"Grant, Corey","RB","JAC","t","ind","2.66666666666667","4500","Indianapolis Colts",13,3,31.7,95,72,24,"287",4,95.7,4,"21T",15,20.8,1,0,0,27,3,31.7,95,79,111,71.2,37,"913",8.4,304.3,3,1,49,44.1,"44",10,2,4,101.6,NA,3,"31.7",95,"187",400,6.4,23,14,31,45,0,0,0,26,"204","29:31",4,3,NA,24
"51",14,3,2016,5347,"Washington, Tony","WR","JAC","t","ind","0.800000011920929","4500","Indianapolis Colts",25,16,25.5,408,452,28.2,"1,952",4.3,122,14,"56",89,19.7,16,3,10,24,16,25.5,408,354,585,60.5,36.6,"4,114",7.5,257.1,29,17,210,35.9,"80T",64,12,35,88,26,16,"25,5",408,"1,072",379.1,5.7,20.7,89,227,39,10,14,71,133,"1,168","31:06",20,8,2016,NA
"52",14,3,2016,5347,"Washington, Tony","WR","JAC","t","ind","0.800000011920929","4500","Indianapolis Colts",13,3,31.7,95,72,24,"287",4,95.7,4,"21T",15,20.8,1,0,0,27,3,31.7,95,79,111,71.2,37,"913",8.4,304.3,3,1,49,44.1,"44",10,2,4,101.6,NA,3,"31.7",95,"187",400,6.4,23,14,31,45,0,0,0,26,"204","29:31",4,3,NA,24
"53",15,3,2016,5384,"Dorsett, Phillip","WR","IND","t","jac","6.36666679382324","6400","Jacksonville Jaguars",15,16,28,448,464,29,"1,709",3.7,106.8,15,"87T",102,22,12,1,4,29,16,28,448,390,602,64.8,37.6,"4,291",7.5,268.2,29,9,222,36.9,"71T",54,10,36,97.2,24,16,"28",448,"1,102",375,5.4,22.6,105,227,46,6,12,50,114,"989","32:47",16,9,2016,NA
"54",15,3,2016,5384,"Dorsett, Phillip","WR","IND","t","jac","6.36666679382324","6400","Jacksonville Jaguars",20,3,28,84,82,27.3,"329",4,109.7,3,"28",19,23.2,3,0,0,7,3,28,84,66,99,66.7,33,"605",6.4,201.7,6,2,31,31.3,"45T",8,3,6,96.1,NA,3,"28",84,"187",311.3,5,20.3,17,40,42,2,2,100,16,"105","31:32",4,2,NA,8
"55",15,3,2016,2467,"Gore, Frank","RB","IND","t","jac","12.8000005086263","6100","Jacksonville Jaguars",15,16,28,448,464,29,"1,709",3.7,106.8,15,"87T",102,22,12,1,4,29,16,28,448,390,602,64.8,37.6,"4,291",7.5,268.2,29,9,222,36.9,"71T",54,10,36,97.2,24,16,"28",448,"1,102",375,5.4,22.6,105,227,46,6,12,50,114,"989","32:47",16,9,2016,NA
"56",15,3,2016,2467,"Gore, Frank","RB","IND","t","jac","12.8000005086263","6100","Jacksonville Jaguars",20,3,28,84,82,27.3,"329",4,109.7,3,"28",19,23.2,3,0,0,7,3,28,84,66,99,66.7,33,"605",6.4,201.7,6,2,31,31.3,"45T",8,3,6,96.1,NA,3,"28",84,"187",311.3,5,20.3,17,40,42,2,2,100,16,"105","31:32",4,2,NA,8
"57",15,3,2016,4551,"Allen, Dwayne","TE","IND","t","jac","7.93333307902018","5900","Jacksonville Jaguars",15,16,28,448,464,29,"1,709",3.7,106.8,15,"87T",102,22,12,1,4,29,16,28,448,390,602,64.8,37.6,"4,291",7.5,268.2,29,9,222,36.9,"71T",54,10,36,97.2,24,16,"28",448,"1,102",375,5.4,22.6,105,227,46,6,12,50,114,"989","32:47",16,9,2016,NA
"58",15,3,2016,4551,"Allen, Dwayne","TE","IND","t","jac","7.93333307902018","5900","Jacksonville Jaguars",20,3,28,84,82,27.3,"329",4,109.7,3,"28",19,23.2,3,0,0,7,3,28,84,66,99,66.7,33,"605",6.4,201.7,6,2,31,31.3,"45T",8,3,6,96.1,NA,3,"28",84,"187",311.3,5,20.3,17,40,42,2,2,100,16,"105","31:32",4,2,NA,8
"59",15,3,2016,1433,"Tolzien, Scott","QB","IND","t","jac","-0.0700000002980232","5000","Jacksonville Jaguars",15,16,28,448,464,29,"1,709",3.7,106.8,15,"87T",102,22,12,1,4,29,16,28,448,390,602,64.8,37.6,"4,291",7.5,268.2,29,9,222,36.9,"71T",54,10,36,97.2,24,16,"28",448,"1,102",375,5.4,22.6,105,227,46,6,12,50,114,"989","32:47",16,9,2016,NA
"60",15,3,2016,1433,"Tolzien, Scott","QB","IND","t","jac","-0.0700000002980232","5000","Jacksonville Jaguars",20,3,28,84,82,27.3,"329",4,109.7,3,"28",19,23.2,3,0,0,7,3,28,84,66,99,66.7,33,"605",6.4,201.7,6,2,31,31.3,"45T",8,3,6,96.1,NA,3,"28",84,"187",311.3,5,20.3,17,40,42,2,2,100,16,"105","31:32",4,2,NA,8
"61",15,3,2016,2867,"Turbin, Robert","RB","IND","t","jac","5.59999974568685","5000","Jacksonville Jaguars",15,16,28,448,464,29,"1,709",3.7,106.8,15,"87T",102,22,12,1,4,29,16,28,448,390,602,64.8,37.6,"4,291",7.5,268.2,29,9,222,36.9,"71T",54,10,36,97.2,24,16,"28",448,"1,102",375,5.4,22.6,105,227,46,6,12,50,114,"989","32:47",16,9,2016,NA
"62",15,3,2016,2867,"Turbin, Robert","RB","IND","t","jac","5.59999974568685","5000","Jacksonville Jaguars",20,3,28,84,82,27.3,"329",4,109.7,3,"28",19,23.2,3,0,0,7,3,28,84,66,99,66.7,33,"605",6.4,201.7,6,2,31,31.3,"45T",8,3,6,96.1,NA,3,"28",84,"187",311.3,5,20.3,17,40,42,2,2,100,16,"105","31:32",4,2,NA,8
