"","TeamID","Name.x","Week.x","Team.x.x","Opp.x","Score.x","Comp","Att.x","Yds.x","TD.x","Int","Sck","FUM.x","Rate","Oppt.x.x","Avg.x","Rec.x","FG.Made.x","FG.Att.x","XP.Made.x","XP.Att.x","Pts.x","Year.x","GID.x","Pos.x","Team.y.x","h.a.x","Oppt.y.x","FD.points.x","FD.salary.x","TeamID.y.x","V1","Name.y","Week.y","Team.x.y","Opp.y","Score.y","Comp.x","Att.y","Yds.y","TD.y","Int.x","Sck.x","FUM.y","Rate.x","Oppt.x.y","Avg.y","Rec.y","FG.Made.y","FG.Att.y","XP.Made.y","XP.Att.y","Pts.y","Year.y","GID.y","Pos.y","Team.y.y","h.a.y","Oppt.y.y","FD.points.y","FD.salary.y","TeamID.y.y","Team","Rk.x","G.x","Pts.G.x","TotPts.x","Att.x","Att.G.x","Yds.x","Avg.x","Yds.G.x","TD.x","Lng.x","X1st.x","X1st..x","X20..x","X40..x","FUM.x","Rk.y","G.y","Pts.G.y","TotPts.y","Comp.y","Att.y","Pct","Att.G.y","Yds.y","Avg.y","Yds.G.y","TD.y","Int.y","X1st.y","X1st..y","Lng.y","X20..y","X40..y","Sck.y","Rate.y","Rk","G","Pts.G","TotPts","Scrm.Plys","Yds.G","Yds.P","X1st.G","X3rd.Md","X3rd.Att","X3rd.Pct","X4th.Md","X4th.Att","X4th.Pct","Pen","Pen.Yds","ToP.G","FUM.y","Lost","Scored.Labels"
"11",1,"Evans, Mike",2,"tb","@ ARI","L  7-40",0,0,70,1,0,0,0,0,"ari",11.7,6,0,0,0,0,0,0,0,"0","0","0","0","0","0",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"12",1,"Garoppolo, Jimmy",1,"ne","@ ARI","W  23-21",24,33,264,1,0,2,1,106.1,"ari",0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"13",1,"Garoppolo, Jimmy",1,"ne","@ ARI","W  23-21",0,4,12,0,0,0,1,0,"ari",3,0,0,0,0,0,0,0,0,"0","0","0","0","0","0",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"14",1,"Garoppolo, Jimmy",1,"ne","@ ARI","W  23-21",0,0,3,0,0,0,1,0,"ari",3,1,0,0,0,0,0,0,0,"0","0","0","0","0","0",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"15",1,"Gillislee, Mike",3,"buf","vs ARI","W  33-18",0,3,20,0,0,0,0,0,"ari",6.7,0,0,0,0,0,0,2016,2894,"RB","BUF","t","ne","3.46666653951009","4900",20,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"16",1,"Goodwin, Marquise",3,"buf","vs ARI","W  33-18",0,0,6,0,0,0,0,0,"ari",6,1,0,0,0,0,0,2016,5205,"WR","BUF","t","ne","9.64999961853027","5300",20,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"17",1,"Gostkowski, Stephen",1,"ne","@ ARI","W  23-21",0,0,0,0,0,0,0,0,"ari",0,0,3,3,2,2,11,0,0,"0","0","0","0","0","0",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"18",1,"Hogan, Chris",1,"ne","@ ARI","W  23-21",0,0,60,1,0,0,0,0,"ari",20,3,0,0,0,0,0,0,0,"0","0","0","0","0","0",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"19",1,"Humphries, Adam",2,"tb","@ ARI","L  7-40",0,0,67,0,0,0,0,0,"ari",11.2,6,0,0,0,0,0,0,0,"0","0","0","0","0","0",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"20",1,"Jackson, Vincent",2,"tb","@ ARI","L  7-40",0,0,44,0,0,0,0,0,"ari",11,4,0,0,0,0,0,0,0,"0","0","0","0","0","0",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
