Mass	Polarity	Intensity	Start	End
164.0387115	Positive	84961.90213	8.805628439	9.105628439
164.0387573	Positive	53504.22746	5.944380982	6.244380982
164.0600586	Positive	102545.3102	8.746539582	9.046539582
164.0784454	Positive	1249954.764	9.345625876	9.645625876
164.0785065	Positive	1098278.972	9.46556106	9.76556106
165.0181122	Positive	368193.297	9.120610203	9.420610203
165.0426788	Positive	2580809.146	9.692886682	9.992886682
165.0429535	Positive	288865.8926	10.20630932	10.50630932
165.0429993	Positive	51091.4855	0.044972082	0.344972082
165.0454712	Positive	267376.849	12.42582054	12.72582054
165.0456238	Positive	142304.5954	10.18438522	10.48438522
165.0542603	Positive	1325532.135	0.300860307	0.600860307
165.0542755	Positive	2049520.246	9.186945898	9.486945898
165.0544434	Positive	1827607.553	3.291550774	3.591550774
165.0545044	Positive	1758659.551	7.567379416	7.867379416
165.0545044	Positive	1324139.438	8.660309188	8.960309188
165.0907898	Positive	164427.0773	0.036271509	0.336271509
165.0908051	Positive	171128.1944	0	0.21749204
165.0908051	Positive	1840628.055	4.157402183	4.457402183
165.0908203	Positive	732780.277	3.338223703	3.638223703
165.1271057	Positive	2508135.381	3.875455503	4.175455503
165.127121	Positive	102203.911	0	0.231149138
165.127182	Positive	958223.8404	9.463186535	9.763186535
165.1271973	Positive	704511.1483	5.470552749	5.770552749
165.1634521	Positive	70771.71368	0.028283828	0.328283828
165.1634521	Positive	175840.0296	7.237942146	7.537942146
166.049942	Positive	837841.8828	0.384693485	0.684693485
166.0707855	Positive	316556.9426	0.155450595	0.455450595
166.0708771	Positive	761985.6632	0.391632269	0.691632269
166.0835419	Positive	3258622.517	0.207111361	0.507111361
166.0860748	Positive	123646617.1	0.536786411	0.836786411
166.0972137	Positive	200549.2241	0.740889206	1.040889206
166.0972748	Positive	164041.6021	0.431273359	0.731273359
166.0972748	Positive	183416.5444	0.469222879	0.769222879
166.0973053	Positive	160555.4143	13.26567867	13.56567867
166.0973358	Positive	120405.9857	13.1674169	13.4674169
166.1223755	Positive	1372666.634	0.503116437	0.803116437
166.122406	Positive	4849761.689	0.4367562	0.7367562
166.1224823	Positive	247405.285	8.266990371	8.566990371
167.0329132	Positive	8319966.419	12.42740343	12.72740343
167.0334015	Positive	1307213.863	10.97751105	11.27751105
167.0334015	Positive	445013.2941	11.19615486	11.49615486
167.0335541	Positive	927372.77	9.574216912	9.874216912
167.0336761	Positive	6625107.634	7.013567944	7.313567944
167.033783	Positive	583470.9705	8.361199211	8.661199211
167.0699921	Positive	487738.9739	3.750513509	4.050513509
167.0700226	Positive	12131132.89	3.621028542	3.921028542
167.0700989	Positive	1259983.061	4.256106611	4.556106611
167.0701294	Positive	1713229.624	3.074699686	3.374699686
167.0854645	Positive	442415.925	8.87264424	9.17264424
167.1063843	Positive	4661693.796	3.590753772	3.890753772
167.1064606	Positive	1922087.889	4.59329671	4.89329671
167.1064911	Positive	340988.964	0	0.278486377
167.142807	Positive	658411.7729	9.780410006	10.08041001
167.1428528	Positive	126141.8189	0.024307762	0.324307762
167.142868	Positive	288032.9762	6.14911488	6.44911488
167.1428986	Positive	133728.1815	0	0.259571812
167.1429138	Positive	281949.1814	4.161679632	4.461679632
167.1429749	Positive	579533.4786	6.700301254	7.000301254
167.6441193	Positive	945621.5283	7.662319688	7.962319688
168.0417328	Positive	14537906.78	0.218114327	0.518114327
168.0565338	Positive	179875.78	7.672802749	7.972802749
168.0565643	Positive	145607.6997	7.916831942	8.216831942
168.0567322	Positive	387817.9044	9.18819195	9.48819195
168.0568085	Positive	88595.87004	9.216631644	9.516631644
168.0654297	Positive	810655.3627	0.299124516	0.599124516
169.0756226	Positive	65441.60075	4.21949292	4.51949292
168.0806427	Positive	1553815.828	2.803786559	3.103786559
168.101532	Positive	13588791.65	0.292556576	0.592556576
168.1381073	Positive	64164.92544	3.401174808	3.701174808
168.1381226	Positive	245111.8532	5.456165371	5.756165371
169.049408	Positive	1371981.397	2.533115033	2.833115033
169.0497131	Positive	369633.4321	0.31933075	0.61933075
169.0605011	Positive	414294.4479	0.400754197	0.700754197
169.0756531	Positive	89054.32113	0.924028173	1.224028173
169.0756531	Positive	62051.57271	0.992825983	1.292825983
169.0756836	Positive	500917.3118	7.06594308	7.36594308
169.1217804	Positive	901687.1011	11.09568597	11.39568597
169.1218872	Positive	1073174.659	11.80106154	12.10106154
169.1220398	Positive	1382429.027	4.080852807	4.380852807
169.1220856	Positive	18500996.2	4.280249423	4.580249423
170.0597839	Positive	434893.1642	1.371733184	1.671733184
170.0608521	Positive	4023950.218	10.15668001	10.45668001
170.0809174	Positive	1554945.438	0.352704142	0.652704142
170.1086578	Positive	55478.59902	4.872225507	5.172225507
170.1534882	Positive	582552.0393	7.650309791	7.950309791
170.1536713	Positive	321276.6525	3.568672546	3.868672546
170.1537933	Positive	347308.333	4.828793435	5.128793435
170.1538696	Positive	499159.5605	5.425444956	5.725444956
170.190094	Positive	5666884.351	10.28824202	10.58824202
171.0162659	Positive	2666552.712	0.19144959	0.49144959
171.0285492	Positive	3169225.669	0.157802647	0.457802647
171.0800629	Positive	213453.7129	3.377818318	3.677818318
171.0801849	Positive	63915.36288	10.58196852	10.88196852
171.091507	Positive	202149.4797	2.56466495	2.86466495
171.101181	Positive	761543.8374	11.30530859	11.60530859
171.1012878	Positive	561520.868	12.00296875	12.30296875
171.1013489	Positive	143194.9717	12.94254722	13.24254722
171.101593	Positive	567248.2115	10.62404289	10.92404289
171.1164246	Positive	450143.3777	3.879061068	4.179061068
171.1164551	Positive	236019.9935	5.36606852	5.66606852
171.1374512	Positive	6459885.451	11.11864756	11.41864756
171.1377563	Positive	3008626.631	10.3332237	10.6332237
171.1378174	Positive	987335.1537	0	0.233170126
171.1378174	Positive	2143909.529	9.241837062	9.541837062
171.1490021	Positive	884271.9191	0	0.241424577
172.0966034	Positive	1327765.144	0.288621028	0.588621028
172.0966339	Positive	352232.5448	0.166715534	0.466715534
172.1331787	Positive	87541.03576	0.046263713	0.346263713
172.1693268	Positive	1247791.781	8.779561333	9.079561333
172.5340271	Positive	233364.6261	10.57881569	10.87881569
172.5811768	Positive	60822.85226	10.68447934	10.98447934
172.9845428	Positive	1512856.705	0.17921133	0.47921133
172.9845428	Positive	364039.9847	0.231725551	0.531725551
173.0357819	Positive	115226.8542	9.004452729	9.304452729
173.0357819	Positive	137505.0836	9.044798921	9.344798921
173.0359344	Positive	208768.7146	8.734155703	9.034155703
173.0594025	Positive	186954.6829	5.313053527	5.613053527
173.0808105	Positive	712337.0538	0.027493323	0.327493323
173.0958252	Positive	468027.7486	5.357863488	5.657863488
173.0958557	Positive	526200.7433	4.864406533	5.164406533
173.0958862	Positive	462726.6277	4.431047985	4.731047985
173.0960236	Positive	267724.8927	3.249777177	3.549777177
173.1170807	Positive	208086.9926	0.036970964	0.336970964
173.1320496	Positive	1059889.059	12.79395339	13.09395339
173.1322174	Positive	1206846.133	10.25861126	10.55861126
173.1322327	Positive	3033943.337	4.862385201	5.162385201
173.132309	Positive	1429916.8	4.021324645	4.321324645
173.1323242	Positive	992827.8716	5.711373947	6.011373947
173.1339417	Positive	423857.9235	7.357347097	7.657347097
173.1533813	Positive	771438.2552	10.37851343	10.67851343
173.1533966	Positive	149573.3981	4.443850934	4.743850934
174.031311	Positive	1874687.746	10.01569401	10.31569401
174.0549011	Positive	312071.2556	7.00885086	7.30885086
174.0760651	Positive	252741.0029	0.165484369	0.465484369
174.0911407	Positive	10077319.18	3.992017527	4.292017527
174.1034393	Positive	175594.9033	3.874437103	4.174437103
174.1036377	Positive	74942.10972	3.90010853	4.20010853
174.1851044	Positive	177643.0017	4.922466008	5.222466008
174.9921265	Positive	366934.8947	8.261147348	8.561147348
175.0148468	Positive	551655.4029	7.919484979	8.219484979
175.0150146	Positive	881053.6886	7.660139559	7.960139559
175.0150299	Positive	1525935.897	10.74153074	11.04153074
175.0150452	Positive	1152431.879	12.02231656	12.32231656
175.0152435	Positive	278505.6929	7.181420996	7.481420996
175.0152588	Positive	1674183.975	9.455392317	9.755392317
175.0233154	Positive	795420.2477	0.304843582	0.604843582
175.0234833	Positive	15660699.63	0.158162932	0.458162932
175.0387878	Positive	126609.395	6.164928716	6.464928716
175.0388336	Positive	3289667.212	3.759042299	4.059042299
175.0388947	Positive	145503.1556	4.738865429	5.038865429
175.0601044	Positive	956822.1386	0.312349153	0.612349153
175.0754395	Positive	377313.3514	3.034925948	3.334925948
175.0960999	Positive	615759.6017	12.51472677	12.81472677
175.0961914	Positive	1911502.592	7.942256507	8.242256507
175.0962524	Positive	2774414.947	10.19621311	10.49621311
175.1115112	Positive	1179831.191	9.099862829	9.399862829
175.1116028	Positive	2227934.259	9.46496419	9.76496419
175.111618	Positive	1714634.738	8.667116129	8.967116129
175.1116943	Positive	945897.7874	3.252702669	3.552702669
175.118576	Positive	275880669.5	0.177886913	0.477886913
175.118576	Positive	125832407.3	0.269025697	0.569025697
175.1186218	Positive	224600914.5	0.206194456	0.506194456
175.1188812	Positive	1600244.649	13.11177165	13.41177165
175.1327209	Positive	252505.2084	6.249181229	6.549181229
175.1328278	Positive	123967.7	5.454724942	5.754724942
175.1476746	Positive	789266.3805	11.46093938	11.76093938
175.147934	Positive	3431284.945	10.59217251	10.89217251
176.0104675	Positive	1225475.175	0.206106181	0.506106181
176.0830994	Positive	182350.8411	5.430408674	5.730408674
176.0914154	Positive	343472.1209	0.164555458	0.464555458
176.0915375	Positive	403565.5437	0.262182173	0.562182173
176.0917664	Positive	150359.3081	13.13051113	13.43051113
176.1159515	Positive	3329336.512	0.206177135	0.506177135
176.1192627	Positive	79198.78253	9.641666548	9.941666548
176.119278	Positive	1882679.204	9.463420116	9.763420116
177.050415	Positive	125250.0918	3.446775909	3.746775909
177.0507202	Positive	53101.45345	2.675030049	2.975030049
177.0542145	Positive	3446286.094	7.910516572	8.210516572
177.054245	Positive	120445009.4	3.685200249	3.985200249
177.0542908	Positive	6716321.599	7.364792748	7.664792748
177.0543365	Positive	57695982.02	3.609420601	3.909420601
177.0545044	Positive	970062.5631	0.031776229	0.331776229
177.0545807	Positive	8342397.385	2.727454095	3.027454095
177.0547333	Positive	9202594.502	0.360213682	0.660213682
177.0547333	Positive	12760115.03	0.457019102	0.757019102
177.0547485	Positive	7476985.919	0.431351349	0.731351349
177.0579224	Positive	390737.1558	0.393617892	0.693617892
177.0905762	Positive	1256583.685	11.73641519	12.03641519
177.0906372	Positive	3723330.638	9.088534036	9.388534036
177.0906982	Positive	41333332.93	9.343776488	9.643776488
177.0908661	Positive	290592.9518	0.032826817	0.332826817
177.0908661	Positive	2079844.042	9.585510984	9.885510984
177.1113129	Positive	393231.5066	3.731316673	4.031316673
177.1121063	Positive	711145.6421	3.300804763	3.600804763
177.1122437	Positive	63552.28398	0	0.261902213
177.1220856	Positive	1164681.058	0.17602794	0.47602794
177.1269989	Positive	7838751.483	5.066633582	5.366633582
177.1271362	Positive	1486813.751	9.202652939	9.502652939
177.1271362	Positive	12695613.23	9.461499005	9.761499005
177.1272888	Positive	665155.2886	9.645981069	9.945981069
177.1273651	Positive	214315.444	0	0.21168442
177.1274109	Positive	2222536.486	2.712724565	3.012724565
177.1486359	Positive	253592.2525	5.790318616	6.090318616
177.1634369	Positive	1174409.923	10.7615091	11.0615091
177.163681	Positive	172728.5534	0.029806697	0.329806697
178.122467	Positive	290760.4837	0.014443688	0.314443688
178.1590271	Positive	343140.377	9.491654995	9.791654995
179.0339661	Positive	343035.4385	0.301414713	0.601414713
179.0339661	Positive	292389.6811	0.343754103	0.643754103
179.054657	Positive	239222.9746	0.164970118	0.464970118
180.0581818	Positive	159821.269	0.296220921	0.596220921
179.0697632	Positive	33222129.92	11.09125691	11.39125691
179.0699463	Positive	15210683.62	11.26396047	11.56396047
179.0842285	Positive	67483.75568	5.006453633	5.306453633
179.1061401	Positive	2185225.339	11.59137866	11.89137866
179.1065674	Positive	942160.6073	4.594282157	4.894282157
179.1178741	Positive	136301.0079	13.22589421	13.52589421
179.1427917	Positive	3286514.561	3.876241819	4.176241819
179.142868	Positive	585218.1467	6.545866321	6.845866321
179.1428833	Positive	2596591.702	10.09335266	10.39335266
180.021698	Positive	303144.3355	2.822783077	3.122783077
180.0220795	Positive	668515.6136	1.299563573	1.599563573
180.0223999	Positive	684636.6952	1.381902936	1.681902936
180.1047668	Positive	128279.2562	7.512695827	7.812695827
180.1381226	Positive	614949.6639	9.290340999	9.590340999
180.1468658	Positive	590635.8787	1.241969891	1.541969891
180.1481171	Positive	246344.4382	4.054673871	4.354673871
180.1483154	Positive	678876.2869	2.171487524	2.471487524
180.1484985	Positive	860907.3066	1.378278317	1.678278317
180.1491241	Positive	806028.2745	1.110054954	1.410054954
180.1492615	Positive	399830.7935	3.264650995	3.564650995
180.1493378	Positive	850185.3953	1.715404853	2.015404853
180.150116	Positive	241145.1695	4.118494178	4.418494178
180.1517334	Positive	473149.4408	0.437095884	0.737095884
180.9868164	Positive	99125.77847	0	0.181842401
180.9875946	Positive	208216.467	7.032089348	7.332089348
181.0489807	Positive	138217815.3	12.4305419	12.7305419
181.0490875	Positive	518462509	9.690814855	9.990814855
181.0492249	Positive	191900061.2	9.57235846	9.87235846
181.0492859	Positive	10504261.36	0.120540041	0.420540041
181.0493622	Positive	12661710.94	0.071834049	0.371834049
181.0493927	Positive	18383452.55	0	0.209858501
181.0857086	Positive	155811.8643	11.51581881	11.81581881
182.1172028	Positive	217568.2667	7.059386273	7.359386273
182.1173401	Positive	85714.68584	0	0.19162439
182.117157	Positive	190746.8127	7.005514041	7.305514041
181.1142883	Positive	159887.8896	9.803913891	10.10391389
182.1173401	Positive	149598.4134	6.905875022	7.205875022
181.121933	Positive	285056.5258	0	0.285402086
181.1219635	Positive	1769368.712	6.527886782	6.827886782
181.1219788	Positive	1221336.725	5.79462682	6.09462682
181.158371	Positive	179063.3586	0	0.217019864
181.1584167	Positive	1564210.306	9.303491468	9.603491468
181.158432	Positive	160836.9752	0.018967207	0.318967207
181.1694946	Positive	183054.8721	4.776197437	5.076197437
181.1820679	Positive	147917.886	9.029213418	9.329213418
182.057373	Positive	207670048.7	0.208247385	0.508247385
182.0805817	Positive	6791919.042	0.298931233	0.598931233
182.0901947	Positive	4408528.107	0.358573934	0.658573934
182.1535034	Positive	161589.7366	7.795317167	8.095317167
182.1535645	Positive	3323970.045	7.663164294	7.963164294
182.1537476	Positive	204387.2266	8.586566443	8.886566443
183.0525513	Positive	3883149.914	9.690585237	9.990585237
183.0526123	Positive	1103590.102	12.43773868	12.73773868
183.0527039	Positive	3157163.853	9.711760883	10.01176088
183.0650635	Positive	758340.8184	7.565807577	7.865807577
183.0913544	Positive	1878908.828	3.280783407	3.580783407
183.0914154	Positive	2451443.472	2.810517284	3.110517284
183.0914459	Positive	2685970.684	6.908371024	7.208371024
183.1012573	Positive	953278.2052	10.2255037	10.5255037
183.1166077	Positive	156913.5107	4.863692444	5.163692444
183.137558	Positive	281953.6201	10.74942883	11.04942883
183.137558	Positive	879147.1763	11.0903502	11.3903502
183.137619	Positive	132556.8413	13.05624148	13.35624148
183.1377411	Positive	172670.5464	0.032557401	0.332557401
183.1739044	Positive	585926.7874	12.16795145	12.46795145
183.173996	Positive	588943.8023	10.93787992	11.23787992
184.0554047	Positive	15323519.32	0.209404591	0.509404591
184.0683136	Positive	508066.8904	10.96162622	11.26162622
184.0729523	Positive	888082.2312	0.168934922	0.468934922
184.0729675	Positive	3546723.185	10.95575419	11.25575419
184.0731812	Positive	518364.1996	10.59100292	10.89100292
184.0759583	Positive	118179.7155	6.598147522	6.898147522
184.1330719	Positive	53042.5616	13.25362725	13.55362725
184.1693268	Positive	1175979.872	8.744141322	9.044141322
184.2055511	Positive	917249.7202	11.75902919	12.05902919
184.2056427	Positive	10668837.27	10.77686481	11.07686481
184.2058411	Positive	152417.4995	10.45319991	10.75319991
184.9918823	Positive	143961.8101	8.14394943	8.44394943
185.0443726	Positive	977868.3342	5.614397716	5.914397716
185.0448761	Positive	549929.0421	5.349557912	5.649557912
185.0629272	Positive	342771.3371	4.315469172	4.615469172
185.0704956	Positive	1261246.736	5.820339715	6.120339715
185.0875244	Positive	76299.6869	8.066243684	8.366243684
185.0982056	Positive	76922.70703	6.478636966	6.778636966
185.1070251	Positive	1128376.18	3.281413994	3.581413994
185.1070709	Positive	1663034.388	2.810572744	3.110572744
185.1321564	Positive	229537.3823	10.25611	10.55611
185.1322021	Positive	284585.3233	4.020764994	4.320764994
185.1322174	Positive	501441.8497	4.859204705	5.159204705
185.1531219	Positive	1055377.857	11.78828497	12.08828497
185.1533661	Positive	1111191.293	6.54053133	6.84053133
185.1535034	Positive	10680334.71	8.062035485	8.362035485
185.2007904	Positive	151119.5604	8.198063362	8.498063362
185.2010498	Positive	179990.1102	8.531166575	8.831166575
186.1035309	Positive	493530.3686	4.864190997	5.164190997
186.1037445	Positive	154857.5868	4.005232742	4.305232742
186.1037445	Positive	200106.5456	4.031507479	4.331507479
186.111618	Positive	642029.5701	0.299526047	0.599526047
186.1484222	Positive	1138026.209	3.790701458	4.090701458
186.1485138	Positive	239820.7468	12.88815474	13.18815474
186.1486053	Positive	1025586.766	4.312920008	4.612920008
186.1847534	Positive	506045.9078	7.751666336	8.051666336
186.1847992	Positive	939314.8617	7.777730972	8.077730972
186.1848907	Positive	1254370.699	8.344638188	8.644638188
186.1850128	Positive	1665927.956	9.109177336	9.409177336
186.1850128	Positive	641096.9703	9.396901081	9.696901081
186.1851196	Positive	99479.27765	0.026473154	0.326473154
186.1852112	Positive	97995.39459	0	0.262634954
186.221405	Positive	78013.43223	0	0.22933311
186.221405	Positive	673726.1979	7.489181788	7.789181788
186.2214508	Positive	709005.6952	9.502740599	9.802740599
186.9889069	Positive	61474.29501	8.131221619	8.431221619
186.9889069	Positive	84409.62824	8.163038674	8.463038674
187.0387115	Positive	201157.7623	6.165005384	6.465005384
187.0387726	Positive	97866.68075	6.862376488	7.162376488
