Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
16406-54782,TE,Cameron,Brate,3.799999952,2,4800,LA@TB,TB,LA,,
16406-29357,RB,Kenjon,Barner,2.200000048,2,4800,PIT@PHI,PHI,PIT,,
16406-32000,TE,Luke,Willson,2.349999905,2,4700,SF@SEA,SEA,SF,,
16406-24671,WR,Adam,Humphries,7.650000095,2,4700,LA@TB,TB,LA,,
16406-39427,WR,Quinton,Patton,6.25,2,4700,SF@SEA,SF,SEA,,
16406-29351,WR,De'Anthony,Thomas,3.590000153,10,4700,NYJ@KC,KC,NYJ,,
16406-28030,RB,Fitzgerald,Toussaint,1.200000048,2,4700,PIT@PHI,PIT,PHI,,
16406-6668,K,Adam,Vinatieri,11.5,2,4700,SD@IND,IND,SD,,
16406-30261,K,Caleb,Sturgis,11,2,4700,PIT@PHI,PHI,PIT,,
16406-38790,WR,Jalin,Marshall,2,2,4700,NYJ@KC,NYJ,KC,,
16406-32058,K,Chris,Boswell,8,2,4600,PIT@PHI,PIT,PHI,,
16406-33037,WR,Kenbrell,Thompkins,4.166666667,6,4600,NYJ@KC,NYJ,KC,,
16406-14837,WR,Jeremy,Ross,0.681818182,11,4600,NYJ@KC,NYJ,KC,,
16406-12544,D,New York,Jets,5.5,2,4600,NYJ@KC,NYJ,KC,,
16406-14643,RB,DuJuan,Harris,7.775000095,4,4600,SF@SEA,SF,SEA,,
16406-26610,WR,Paul,Richardson,3.299999952,2,4600,SF@SEA,SEA,SF,,
16406-30403,WR,Chris,Conley,4.400000095,2,4600,NYJ@KC,KC,NYJ,,
16406-29340,WR,Josh,Huff,0.200000003,2,4600,PIT@PHI,PHI,PIT,,
16406-7801,TE,Brandon,Myers,6.900000095,1,4600,LA@TB,TB,LA,,
16406-6702,K,Phil,Dawson,6.5,2,4600,SF@SEA,SF,SEA,,
16406-22034,WR,Chris,Givens,3.792857034,14,4600,PIT@PHI,PHI,PIT,,
16406-31073,RB,Knile,Davis,0,1,4500,NYJ@KC,KC,NYJ,,
16406-6567,TE,David,Johnson,1,1,4500,PIT@PHI,PIT,PHI,,
16406-25751,TE,Chris,Pantale,0,0,4500,PIT@PHI,PHI,PIT,,
16406-30598,TE,Busta,Anderson,0,0,4500,SF@SEA,SF,SEA,,
16406-62600,WR,Joshua,Stangby,0,0,4500,SD@IND,IND,SD,,
16406-21972,WR,Brian,Quick,2.549999952,2,4500,LA@TB,LA,TB,,
16406-70444,WR,Paul,McRoberts,0,0,4500,LA@TB,LA,TB,,
16406-39615,TE,Brandon,Williams,0,6,4500,SF@SEA,SEA,SF,,
16406-38509,RB,Wendell,Smallwood,0.850000024,2,4500,PIT@PHI,PHI,PIT,,
16406-47870,TE,Tyler,Higbee,0.699999988,1,4500,LA@TB,LA,TB,,
16406-27692,RB,Josh,Ferguson,4.75,2,4500,SD@IND,IND,SD,,
16406-38517,RB,Dreamius,Smith,0,2,4500,SD@IND,SD,IND,,
16406-30635,RB,Mike,Davis,0.800000012,2,4500,SF@SEA,SF,SEA,,
16406-29592,TE,Xavier,Grimble,9.600000381,1,4500,PIT@PHI,PIT,PHI,,
16406-34051,WR,Deshon,Foxx,0,0,4500,SF@SEA,SEA,SF,,
16406-6642,K,Nick,Folk,12,2,4500,NYJ@KC,NYJ,KC,,
16406-30667,TE,Justice,Cunningham,0,2,4500,LA@TB,LA,TB,,
16406-22849,TE,Cory,Harkey,0.849999984,6,4500,LA@TB,LA,TB,,
16406-25827,TE,Asante,Cleveland,0.600000024,1,4500,SD@IND,SD,IND,,
16406-28249,RB,David,Cobb,2.985714231,7,4500,PIT@PHI,PIT,PHI,,
16406-6595,TE,Matt,Spaeth,0.666666667,3,4500,PIT@PHI,PIT,PHI,,
16406-12545,D,Philadelphia,Eagles,12,2,4500,PIT@PHI,PHI,PIT,,
16406-12547,D,Pittsburgh,Steelers,5.5,2,4500,PIT@PHI,PIT,PHI,,
16406-26657,RB,Christian,Powell,0,0,4500,PIT@PHI,PIT,PHI,,
16406-12551,D,Tampa Bay,Buccaneers,1.5,2,4500,LA@TB,TB,LA,,
16406-32632,WR,Bradley,Marquez,1.530000019,10,4500,LA@TB,LA,TB,,
16406-28226,WR,Aaron,Burbridge,0,1,4500,SF@SEA,SF,SEA,,
16406-72676,RB,Troymaine,Pope,0,0,4500,NYJ@KC,NYJ,KC,,
16406-30012,WR,Kevin,Smith,1.933333397,3,4500,SF@SEA,SEA,SF,,
16406-62508,TE,James,O'Shaughnessy,2.339999962,5,4500,NYJ@KC,KC,NYJ,,
16406-15178,RB,Chase,Reynolds,0,2,4500,LA@TB,LA,TB,,
16406-62524,WR,Rasheed,Bailey,0,0,4500,SD@IND,SD,IND,,
16406-46767,TE,Je'Ron,Hamm,0,1,4500,SF@SEA,SF,SEA,,
16406-24679,RB,Zac,Brooks,0,0,4500,SF@SEA,SEA,SF,,
16406-29974,WR,Jamaal,Jones,0,0,4500,SD@IND,SD,IND,,
16406-14268,RB,Stevan,Ridley,1.350000024,8,4500,SD@IND,IND,SD,,
16406-53796,TE,Braedon,Bowman,0,0,4500,NYJ@KC,NYJ,KC,,
16406-45809,TE,Kivon,Cartwright,0,0,4500,LA@TB,TB,LA,,
16406-47720,WR,Chandler,Worthy,0.966666698,3,4500,NYJ@KC,NYJ,KC,,
16406-22938,WR,Rod,Streater,1.799999952,1,4500,SF@SEA,SF,SEA,,
16406-14240,TE,Lance,Kendricks,5.300000191,2,4500,LA@TB,LA,TB,,
16406-25654,RB,Tommy,Bohanon,1.560000038,5,4500,NYJ@KC,NYJ,KC,,
16406-45821,WR,Isaiah,Burse,0,0,4500,SD@IND,SD,IND,,
16406-31191,WR,Mekale,McKay,0,0,4500,SD@IND,IND,SD,,
16406-39512,RB,Kendall,Gaskins,3.674999952,4,4500,SF@SEA,SF,SEA,,
16406-23023,TE,Cooper,Helfet,2.785714286,7,4500,SF@SEA,SEA,SF,,
16406-32234,RB,Malcolm,Brown,1.799999952,1,4500,LA@TB,LA,TB,,
16406-25135,WR,Marcus,Leak,0,0,4500,SD@IND,IND,SD,,
16406-30069,WR,Dominique,Williams,0,0,4500,SD@IND,SD,IND,,
16406-25694,RB,Andre,Williams,2.181250095,16,4500,SD@IND,SD,IND,,
16406-33218,TE,Bryce,Williams,0,0,4500,LA@TB,LA,TB,,
16406-7001,TE,Kellen,Davis,0,1,4500,NYJ@KC,NYJ,KC,,
16406-14327,RB,Anthony,Sherman,0.900000016,6,4500,NYJ@KC,KC,NYJ,,
16406-62534,TE,Brian,Parker,0.550000012,2,4500,NYJ@KC,NYJ,KC,,
16406-24621,WR,Charone,Peake,0,0,4500,NYJ@KC,NYJ,KC,,
16406-54280,WR,Duke,Williams,0,0,4500,LA@TB,LA,TB,,
16406-33733,WR,Xavier,Rush,0,0,4500,PIT@PHI,PHI,PIT,,
16406-10046,RB,Antone,Smith,1.100000024,1,4500,NYJ@KC,NYJ,KC,,
16406-53681,RB,Tyreek,Hill,4.550000191,2,4500,NYJ@KC,KC,NYJ,,
16406-32287,WR,Cayleb,Jones,0,0,4500,PIT@PHI,PHI,PIT,,
16406-22220,TE,Sean,McGrath,0,0,4500,SD@IND,SD,IND,,
16406-30841,WR,Jonathan,Krause,1.049999952,2,4500,SD@IND,SD,IND,,
16406-38264,WR,Demarcus,Robinson,0,0,4500,NYJ@KC,KC,NYJ,,
16406-29404,RB,Byron,Marshall,0,0,4500,PIT@PHI,PHI,PIT,,
16406-31308,WR,Quan,Bray,0.600000024,2,4500,SD@IND,IND,SD,,
16406-23055,TE,Brandon,Bostick,0,1,4500,NYJ@KC,NYJ,KC,,
16406-43260,TE,Darion,Griswold,0,0,4500,SD@IND,IND,SD,,
16406-32309,TE,M.J.,McFarland,0,0,4500,PIT@PHI,PHI,PIT,,
16406-28890,RB,Derek,Watt,0,0,4500,SD@IND,SD,IND,,
16406-55577,WR,Hunter,Sharp,0,0,4500,PIT@PHI,PHI,PIT,,
16406-44678,WR,Titus,Davis,0,0,4500,NYJ@KC,NYJ,KC,,
16406-31748,WR,Levi,Norwood,0,0,4500,PIT@PHI,PIT,PHI,,
16406-40845,TE,Hunter,Henry,2.5,1,4500,SD@IND,SD,IND,,
16406-40843,RB,Alex,Collins,0,1,4500,SF@SEA,SEA,SF,,
16406-39887,WR,Myles,White,2.033333249,9,4500,NYJ@KC,NYJ,KC,,
16406-40857,RB,Peyton,Barber,0,0,4500,LA@TB,TB,LA,,
16406-39900,RB,Khiry,Robinson,7.75,8,4500,NYJ@KC,NYJ,KC,,
16406-27403,TE,Blake,Bell,1.100000024,1,4500,SF@SEA,SF,SEA,,
16406-22188,RB,Daryl,Richardson,0.600000024,1,4500,PIT@PHI,PIT,PHI,,
16406-12305,RB,Will,Tukuafu,0,1,4500,SF@SEA,SEA,SF,,
16406-39689,TE,Zach,Sudfeld,0,0,4500,NYJ@KC,NYJ,KC,,
16406-32410,RB,Trey,Williams,1.200000048,1,4500,SD@IND,IND,SD,,
16406-54651,RB,Dominique,Williams,0,0,4500,NYJ@KC,NYJ,KC,,
16406-22109,K,Greg,Zuerlein,10,1,4500,LA@TB,LA,TB,,
16406-12536,D,Kansas City,Chiefs,4,2,4500,NYJ@KC,KC,NYJ,,
16406-12538,D,Los Angeles,Rams,6,2,4500,LA@TB,LA,TB,,
16406-19342,TE,Demetrius,Harris,1.5,2,4500,NYJ@KC,KC,NYJ,,
16406-55694,WR,Mike,Thomas,0,0,4500,LA@TB,LA,TB,,
