Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
16402-11779,RB,LeGarrette,Blount,14.64999962,2,6500,HOU@NE,NE,HOU,,
16402-27477,WR,Sterling,Shepard,13.75,2,6500,WAS@NYG,NYG,WAS,,
16402-25760,WR,Allen,Hurns,9.199999809,2,6500,BAL@JAC,JAC,BAL,,
16402-11485,WR,Golden,Tate,5.050000191,2,6500,DET@GB,DET,GB,,
16402-11505,WR,Emmanuel,Sanders,6.400000095,2,6500,DEN@CIN,DEN,CIN,,
16402-42028,WR,Will,Fuller,15.80000019,2,6500,HOU@NE,HOU,NE,,
16402-6857,RB,Justin,Forsett,6.349999905,2,6500,BAL@JAC,BAL,JAC,,
16402-22018,WR,Mohamed,Sanu,10.94999981,2,6500,ATL@NO,ATL,NO,,
16402-30244,RB,Matt,Jones,8.399999619,2,6400,WAS@NYG,WAS,NYG,,
16402-54606,WR,John,Brown,1.600000024,2,6400,ARI@BUF,ARI,BUF,,
16402-31397,RB,Jeremy,Hill,8.25,2,6400,DEN@CIN,CIN,DEN,,
16402-27776,RB,Tevin,Coleman,14.14999962,2,6400,ATL@NO,ATL,NO,,
16402-9392,WR,Michael,Crabtree,12.64999962,2,6400,OAK@TEN,OAK,TEN,,
16402-25079,WR,Stefon,Diggs,21.20000076,2,6400,MIN@CAR,MIN,CAR,,
16402-33465,RB,Theo,Riddick,16.89999962,2,6400,DET@GB,DET,GB,,
16402-37245,RB,Fozzy,Whittaker,7.400000095,2,6300,MIN@CAR,CAR,MIN,,
16402-31459,RB,Spencer,Ware,19.45000076,2,6300,NYJ@KC,KC,NYJ,,
16402-31871,RB,Charles,Sims,7.949999809,2,6300,LA@TB,TB,LA,,
16402-6735,WR,Steve,Smith Sr.,6.150000095,2,6300,BAL@JAC,BAL,JAC,,
16402-6479,WR,Anquan,Boldin,8.899999619,2,6200,DET@GB,DET,GB,,
16402-30231,QB,Jacoby,Brissett,4.880000114,1,6200,HOU@NE,NE,HOU,,
16402-22004,TE,Dwayne,Allen,9.399999619,2,6100,SD@IND,IND,SD,,
16402-6448,TE,Martellus,Bennett,11.39999962,2,6100,HOU@NE,NE,HOU,,
16402-14317,TE,Julius,Thomas,12,2,6100,BAL@JAC,JAC,BAL,,
16402-28473,RB,Carlos,Hyde,13.5,2,6100,SF@SEA,SF,SEA,,
16402-62535,WR,Tyrell,Williams,10.85000038,2,6100,SD@IND,SD,IND,,
16402-6774,WR,Pierre,Garcon,5.800000191,2,6100,WAS@NYG,WAS,NYG,,
16402-27050,WR,Tyler,Lockett,7.550000191,2,6100,SF@SEA,SEA,SF,,
16402-33076,TE,Travis,Kelce,8.149999619,2,6000,NYJ@KC,KC,NYJ,,
16402-21959,QB,Brandon,Weeden,11.40333303,6,6000,HOU@NE,HOU,NE,,
16402-29587,QB,Cody,Kessler,0,0,6000,CLE@MIA,CLE,MIA,,
16402-6627,WR,Ted,Ginn Jr.,3.799999952,2,6000,MIN@CAR,CAR,MIN,,
16402-6641,TE,Jason,Witten,8.850000381,2,6000,CHI@DAL,DAL,CHI,,
16402-14194,QB,Blaine,Gabbert,18.36000061,2,6000,SF@SEA,SF,SEA,,
16402-14231,QB,Colin,Kaepernick,12.79999966,9,6000,SF@SEA,SF,SEA,,
16402-14267,QB,Ryan,Mallett,10.99142892,7,6000,BAL@JAC,BAL,JAC,,
16402-29500,WR,Markus,Wheaton,8.056249619,16,6000,PIT@PHI,PIT,PHI,,
16402-27266,WR,Quincy,Enunwa,13.55000019,2,6000,NYJ@KC,NYJ,KC,,
16402-25410,QB,Mike,Glennon,0,0,6000,LA@TB,TB,LA,,
16402-25813,WR,Phillip,Dorsett,7.449999809,2,6000,SD@IND,IND,SD,,
16402-38435,QB,Jared,Goff,0,0,6000,LA@TB,LA,TB,,
16402-7965,TE,Antonio,Gates,6.25,2,6000,SD@IND,SD,IND,,
16402-7872,QB,Brian,Hoyer,3.119999886,1,6000,CHI@DAL,CHI,DAL,,
16402-6679,QB,Matt,Schaub,15.30000019,2,6000,ATL@NO,ATL,NO,,
16402-7778,QB,Matt,Cassel,-0.100000001,1,6000,OAK@TEN,TEN,OAK,,
16402-22027,QB,Nick,Foles,9.64363653,11,6000,NYJ@KC,KC,NYJ,,
16402-26458,WR,Tavon,Austin,5.800000191,2,5900,LA@TB,LA,TB,,
16402-31047,QB,AJ,McCarron,8.17999976,7,5900,DEN@CIN,CIN,DEN,,
16402-38514,WR,Kevin,White,5.699999809,2,5900,CHI@DAL,CHI,DAL,,
16402-30989,RB,Kenyan,Drake,8.800000191,1,5900,CLE@MIA,MIA,CLE,,
16402-8117,WR,Danny,Amendola,11.55000019,2,5900,HOU@NE,NE,HOU,,
16402-6844,QB,Shaun,Hill,10.23999977,1,5900,MIN@CAR,MIN,CAR,,
16402-11999,WR,Victor,Cruz,10.25,2,5800,WAS@NYG,NYG,WAS,,
16402-15212,WR,Terrelle,Pryor Sr.,6.5,2,5800,CLE@MIA,CLE,MIA,,
16402-6422,TE,Gary,Barnidge,2.849999905,2,5800,CLE@MIA,CLE,MIA,,
16402-47523,WR,Tajae,Sharpe,8.199999809,2,5800,OAK@TEN,TEN,OAK,,
16402-28080,WR,Devin,Funchess,5.150000095,2,5800,MIN@CAR,CAR,MIN,,
16402-25290,RB,Giovani,Bernard,12.10000038,2,5700,DEN@CIN,CIN,DEN,,
16402-45889,WR,Davante,Adams,7.300000191,2,5700,DET@GB,GB,DET,,
16402-46882,RB,Jay,Ajayi,4.5,1,5700,CLE@MIA,MIA,CLE,,
16402-40669,WR,Tyler,Boyd,6.099999905,2,5700,DEN@CIN,CIN,DEN,,
16402-6840,RB,Frank,Gore,11.80000019,2,5700,SD@IND,IND,SD,,
16402-29683,WR,Nelson,Agholor,9.949999809,2,5600,PIT@PHI,PHI,PIT,,
16402-14905,WR,Kamar,Aiken,1.200000048,2,5600,BAL@JAC,BAL,JAC,,
16402-11495,WR,Brandon,LaFell,8.25,2,5600,DEN@CIN,CIN,DEN,,
16402-6768,WR,Eddie,Royal,13.44999981,2,5600,CHI@DAL,CHI,DAL,,
16402-21971,TE,Coby,Fleener,2.5,2,5500,ATL@NO,NO,ATL,,
16402-22848,QB,Austin,Davis,7.393333435,3,5500,DEN@CIN,DEN,CIN,,
16402-14288,WR,Torrey,Smith,7.650000095,2,5500,SF@SEA,SF,SEA,,
16402-33244,WR,Eli,Rogers,8.149999619,2,5500,PIT@PHI,PIT,PHI,,
16402-31241,WR,Sammie,Coates,8.949999809,2,5500,PIT@PHI,PIT,PHI,,
16402-27405,QB,Landry,Jones,3.717142923,7,5500,PIT@PHI,PIT,PHI,,
16402-39280,RB,Derrick,Henry,5.400000095,2,5500,OAK@TEN,TEN,OAK,,
16402-11500,QB,Colt,McCoy,8.819999695,1,5500,WAS@NYG,WAS,NYG,,
16402-6808,QB,Matt,Moore,0.360000014,1,5500,CLE@MIA,MIA,CLE,,
16402-7844,QB,Chad,Henne,0,0,5500,BAL@JAC,JAC,BAL,,
16402-33463,QB,Paxton,Lynch,0,0,5500,DEN@CIN,DEN,CIN,,
16402-6664,TE,Jacob,Tamme,12.05000019,2,5500,ATL@NO,ATL,NO,,
16402-28677,QB,Matt,McGloin,5.340000153,2,5500,OAK@TEN,OAK,TEN,,
16402-6535,WR,Kenny,Britt,10.55000019,2,5400,LA@TB,LA,TB,,
16402-14292,TE,Jordan,Cameron,7.5,2,5400,CLE@MIA,MIA,CLE,,
16402-12550,D,Seattle,Seahawks,9,2,5400,SF@SEA,SEA,SF,,
16402-28930,RB,James,White,5.400000095,2,5400,HOU@NE,NE,HOU,,
16402-22163,WR,Rishard,Matthews,5.050000191,2,5400,OAK@TEN,TEN,OAK,,
16402-22113,RB,Alfred,Morris,5.099999905,2,5400,CHI@DAL,DAL,CHI,,
16402-54608,RB,Jerick,McKinnon,1,2,5300,MIN@CAR,MIN,CAR,,
16402-39580,RB,Devontae,Booker,2.200000048,2,5300,DEN@CIN,DEN,CIN,,
16402-16923,TE,Austin,Seferian-Jenkins,5.949999809,2,5300,LA@TB,TB,LA,,
16402-32243,WR,Marquise,Goodwin,18.20000076,1,5300,ARI@BUF,BUF,ARI,,
16402-7953,WR,Vincent,Jackson,4.599999905,2,5300,LA@TB,TB,LA,,
16402-42142,RB,Jordan,Howard,4.099999905,1,5300,CHI@DAL,CHI,DAL,,
