"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16403-6803","QB","Josh","McCown","16.399999618530273","1","6900","CLE@MIA","CLE","MIA","O","Collarbone","",""
"16403-6863","TE","Delanie","Walker","11.5","2","6900","OAK@TEN","TEN","OAK","Q","Hamstring","",""
"16403-6898","QB","Jay","Cutler","8.0600004196167","2","6900","CHI@DAL","CHI","DAL","D","Thumb","",""
"16403-22103","WR","Marvin","Jones Jr.","13.149999618530273","2","6900","DET@GB","DET","GB","","","",""
"16403-22035","WR","Travis","Benjamin","16.549999237060547","2","6900","SD@IND","SD","IND","","","",""
"16403-21970","RB","Doug","Martin","7.199999809265137","2","6800","LA@TB","TB","LA","O","Hamstring","",""
"16403-10777","RB","Arian","Foster","6.199999809265137","2","6800","CLE@MIA","MIA","CLE","O","Groin","",""
"16403-8005","QB","Alex","Smith","16.329999923706055","2","6800","NYJ@KC","KC","NYJ","","","",""
"16403-6739","WR","DeSean","Jackson","9.350000381469727","2","6800","WAS@NYG","WAS","NYG","","","",""
"16403-31732","WR","Corey","Coleman","16.399999618530273","2","6700","CLE@MIA","CLE","MIA","O","Hand","",""
"16403-22994","QB","Case","Keenum","7.130000114440918","2","6700","LA@TB","LA","TB","","","",""
"16403-28434","QB","Trevor","Siemian","11.729999542236328","2","6700","DEN@CIN","DEN","CIN","","","",""
"16403-6779","RB","LeSean","McCoy","13","2","6700","ARI@BUF","BUF","ARI","","","",""
"16403-31561","WR","Donte","Moncrief","8.399999618530273","2","6600","SD@IND","IND","SD","O","Shoulder","",""
"16403-11414","QB","Sam","Bradford","19.139999389648438","1","6600","MIN@CAR","MIN","CAR","","","",""
"16403-11425","RB","Ryan","Mathews","14.850000381469727","2","6600","PIT@PHI","PHI","PIT","","","",""
"16403-31061","RB","T.J.","Yeldon","11.350000381469727","2","6600","BAL@JAC","JAC","BAL","","","",""
"16403-28202","RB","Jeremy","Langford","10.600000381469727","2","6500","CHI@DAL","CHI","DAL","","","",""
"16403-6607","WR","Mike","Wallace","17.899999618530273","2","6500","BAL@JAC","BAL","JAC","","","",""
"16403-27477","WR","Sterling","Shepard","13.75","2","6500","WAS@NYG","NYG","WAS","","","",""
"16403-25760","WR","Allen","Hurns","9.199999809265137","2","6500","BAL@JAC","JAC","BAL","","","",""
"16403-11485","WR","Golden","Tate","5.050000190734863","2","6500","DET@GB","DET","GB","","","",""
"16403-11505","WR","Emmanuel","Sanders","6.400000095367432","2","6500","DEN@CIN","DEN","CIN","","","",""
"16403-6857","RB","Justin","Forsett","6.349999904632568","2","6500","BAL@JAC","BAL","JAC","","","",""
"16403-6733","RB","Jonathan","Stewart","4.5","2","6500","MIN@CAR","CAR","MIN","O","Hamstring","",""
"16403-30244","RB","Matt","Jones","8.399999618530273","2","6400","WAS@NYG","WAS","NYG","","","",""
"16403-54606","WR","John","Brown","1.600000023841858","2","6400","ARI@BUF","ARI","BUF","","","",""
"16403-31397","RB","Jeremy","Hill","8.25","2","6400","DEN@CIN","CIN","DEN","","","",""
"16403-9392","WR","Michael","Crabtree","12.649999618530273","2","6400","OAK@TEN","OAK","TEN","","","",""
"16403-25079","WR","Stefon","Diggs","21.200000762939453","2","6400","MIN@CAR","MIN","CAR","","","",""
"16403-33465","RB","Theo","Riddick","16.899999618530273","2","6400","DET@GB","DET","GB","","","",""
"16403-28095","RB","Thomas","Rawls","4.800000190734863","2","6400","SF@SEA","SEA","SF","D","Lower leg","",""
"16403-37245","RB","Fozzy","Whittaker","7.400000095367432","2","6300","MIN@CAR","CAR","MIN","","","",""
"16403-31459","RB","Spencer","Ware","19.450000762939453","2","6300","NYJ@KC","KC","NYJ","","","",""
"16403-31871","RB","Charles","Sims","7.949999809265137","2","6300","LA@TB","TB","LA","","","",""
"16403-6735","WR","Steve","Smith Sr.","6.150000095367432","2","6300","BAL@JAC","BAL","JAC","","","",""
"16403-27229","RB","Ameer","Abdullah","12.149999618530273","2","6200","DET@GB","DET","GB","IR","Foot","",""
"16403-6479","WR","Anquan","Boldin","8.899999618530273","2","6200","DET@GB","DET","GB","","","",""
"16403-33260","WR","DeVante","Parker","14.600000381469727","1","6200","CLE@MIA","MIA","CLE","Q","Hamstring","",""
"16403-22004","TE","Dwayne","Allen","9.399999618530273","2","6100","SD@IND","IND","SD","","","",""
"16403-14317","TE","Julius","Thomas","12","2","6100","BAL@JAC","JAC","BAL","","","",""
"16403-28473","RB","Carlos","Hyde","13.5","2","6100","SF@SEA","SF","SEA","","","",""
"16403-62535","WR","Tyrell","Williams","10.850000381469727","2","6100","SD@IND","SD","IND","","","",""
"16403-6774","WR","Pierre","Garcon","5.800000190734863","2","6100","WAS@NYG","WAS","NYG","","","",""
"16403-27050","WR","Tyler","Lockett","7.550000190734863","2","6100","SF@SEA","SEA","SF","Q","Knee","",""
"16403-33076","TE","Travis","Kelce","8.149999618530273","2","6000","NYJ@KC","KC","NYJ","","","",""
"16403-29587","QB","Cody","Kessler","0","0","6000","CLE@MIA","CLE","MIA","","","",""
